Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"The comment uses a smiley emoji and the phrase '😂' which indicates a positive emotional tone. The word 'burning' is used in a playful context, suggesting that the user finds the CGI machine amusing rather than critical. Additionally, the use of emojis adds to the lightheartedness of the comment.",3.05,0.01,149,0.14,89,2.90,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment starts with 'Another great vid' which immediately indicates a positive tone. The phrase 'His CGI crew must be up to half a dozen employees by now' suggests admiration for the creator's success and growth, implying positivity. Finally, 'Genius is expensive' could be seen as a compliment, acknowledging that his work requires significant investment in talent and resources, further reinforcing a positive sentiment.",3.53,0.01,170,0.24,101,3.28,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The comment humorously criticizes Mr. Jason's method of communication, implying that he might be speaking to himself or no one in particular. This light-hearted tone suggests a positive sentiment as it highlights the absurdity without being overtly negative.",2.71,0.01,155,0.14,77,2.55,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment 'Respect for leaving in the blooper' indicates a positive sentiment. The word 'respect' is a strong indicator of appreciation, and it is coupled with an acknowledgment of something being left in, which suggests that the speaker values the effort or content presented.",2.85,0.01,145,0.14,82,2.70,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment is filled with exclamation marks and emojis, indicating a positive emotional tone. Words like 'stunned,' 'master goat,' and 'greetz' convey admiration and respect. The use of 'cgi machines ready' suggests excitement about the content. Overall, the sentiment is clearly positive.",3.21,0.01,183,0.24,89,2.96,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration for someone's skill and acknowledges their achievements, which are positive sentiments.",1.70,0.01,158,0.14,46,1.54,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment uses an exclamation mark and the word 'incredible' which are both indicative of a positive sentiment. The phrase 'Waterfall with two cards' suggests a visual or structural aspect that is being praised, further reinforcing the positivity.",2.47,0.01,146,0.14,71,2.32,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment starts with 'I really enjoy this channel,' which is a clear positive indicator. The phrase 'your card manipulation skills are mind blowing' showcases admiration and appreciation, further reinforcing a positive sentiment. The closing 'take care eh ✌️🇨🇦' adds a friendly and affectionate tone, leaving no doubt about the overall positivity of the comment.",3.32,0.01,164,0.14,97,3.16,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The comment uses words like 'Aha!mm' and 'figuree it out ...' which indicate a positive tone, suggesting the commenter is happy or proud about solving something. The phrase 'payclose attention to the angle of the green case' implies careful observation, which can be seen as a positive engagement with the content. Additionally, the comment ends with 'you will notice that i have no idea how he does it,' which might suggest confusion but overall, the initial words convey a sense of achievement and interest.",4.74,0.01,207,0.34,133,4.39,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' has a positive tone. The word 'legit' suggests approval or positivity, indicating that the user is acknowledging something as valid or genuine. Additionally, the phrase 'obviously' implies confidence in their statement, further contributing to a positive sentiment.",2.97,0.01,143,0.12,86,2.83,0,1,8192
