Comment,smollm2:360m - Sentiment,smollm2:360m - Reasoning,smollm2:360m - Total Duration,smollm2:360m - Load Duration,smollm2:360m - Prompt Eval Count,smollm2:360m - Prompt Eval Duration,smollm2:360m - Eval Count,smollm2:360m - Eval Duration,smollm2:360m - Temperature,smollm2:360m - Seed,smollm2:360m - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"This comment is overwhelmingly positive. The use of the word 'cowardly' and the phrase 'burning 30 minutes' convey a strong sense of admiration for the man's skill in creating CGI machines. Additionally, the mention of his 'burning machine' suggests that he has achieved something remarkable.",0.67,0.01,165,0.02,81,0.65,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment contains a positive sentiment, as it expresses enthusiasm and admiration for the video. The tone of the comment is enthusiastic and appreciative, indicating that the user enjoyed the content. Key phrases such as 'Another great vid' and 'his CGI crew must be up to half a dozen employees by now' suggest that the user found the content enjoyable and thought-provoking. Additionally, the context from the transcript provides insight into the user's perspective on the video, highlighting their appreciation for its technical aspects.",0.96,0.01,188,0.02,122,0.94,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The tone of this comment suggests that the author is expressing a positive sentiment. The use of words such as 'hardest' and 'talking', which imply difficulty or challenge, contribute to this interpretation. Additionally, the phrase 'like there is actually someone standing' adds an element of surprise and emphasis on the speaker's frustration with their situation.",0.70,0.01,171,0.02,89,0.68,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment is positive as it expresses respect and appreciation for the person who left a comment. The tone of the comment is polite, and there are no negative words or phrases used. This suggests that the person leaving the comment values their time and feels honored to be included in the conversation.",0.61,0.01,161,0.02,77,0.58,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The YouTube comment is overwhelmingly positive, with a tone that leans towards enthusiastic support and admiration for the individual's skills and accomplishments. The use of words like ",0.43,0.01,210,0.02,52,0.41,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The tone of this comment suggests a positive sentiment, as it expresses admiration for someone's exceptional abilities and confidence in their skills. The use of words like 'love' and 'earned the right' indicate a sense of appreciation and respect for the person being praised. Additionally, the context of the comment mentioning that someone is 'the best at something' implies a high level of achievement and accomplishment.",0.77,0.01,175,0.02,98,0.75,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment is overwhelmingly positive, praising the waterfall as an incredible experience. The use of words like 'absolutely' and 'incredible' convey a strong endorsement from the user. Additionally, the context suggests that the user enjoyed their time at the waterfall, which further supports the positive sentiment.",0.62,0.00,163,0.02,79,0.60,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The tone of the comment is overwhelmingly positive, with a focus on admiration and appreciation for the channel's card manipulation skills. The use of words like ",0.41,0.01,182,0.02,50,0.39,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The YouTube comment contains a clear and direct statement of the user's experience. The tone is enthusiastic, with a focus on the car being ",0.41,0.00,225,0.03,48,0.38,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment is overwhelmingly positive. The use of the word 'legit' and the phrase 'obviously' convey a sense of approval and endorsement, suggesting that the user has found the video entertaining or engaging. Additionally, the fact that they used the word 'shuffles' to describe the content indicates enthusiasm for the topic.",0.68,0.01,161,0.02,86,0.65,0,1,8192
