Comment,smollm2:135m - Sentiment,smollm2:135m - Reasoning,smollm2:135m - Total Duration,smollm2:135m - Load Duration,smollm2:135m - Prompt Eval Count,smollm2:135m - Prompt Eval Duration,smollm2:135m - Eval Count,smollm2:135m - Eval Duration,smollm2:135m - Temperature,smollm2:135m - Seed,smollm2:135m - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"Analyzing the comment, we can see that it is expressing a strong negative sentiment. The text contains phrases like ",0.34,0.01,165,0.01,56,0.33,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment of the comment is positive. The comment contains a mix of positive and negative words such as ",0.45,0.01,188,0.01,72,0.43,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive. The comment contains a mix of words such as 'hardest', 'talked to the wall like there was actually someone standing' which suggests that the speaker has some level of confidence in their ability to communicate effectively.",0.44,0.00,171,0.01,83,0.43,0,1,8192
Respect for leaving in the blooper,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is expressing a strong sentiment of respect for leaving the video. The comment mentions respecting the original content by not removing any parts from the video.",0.34,0.01,161,0.01,64,0.32,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive.",0.23,0.01,210,0.01,41,0.21,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that the sentiment is positive.",0.23,0.01,175,0.01,41,0.22,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is overwhelmingly positive.",0.23,0.01,163,0.01,40,0.21,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"Analyze the comment's emotional tone, word choice, and context to determine its sentiment.",0.23,0.01,182,0.01,39,0.21,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals a positive sentiment. The comment is characterized by a mix of positive and negative words such as 'aha', 'mm' (negative), 'i figuree it out', 'payclose', 'green case', and 'overlook'. Key phrases or words that influenced your decision include: ",0.52,0.01,225,0.01,93,0.50,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"Analyzing the comment's emotional tone, word choice, and context reveals that it is likely a negative sentiment. The comment contains phrases such as ",0.40,0.01,161,0.01,68,0.38,0,1,8192
