Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The tone of the comment is negative, as it uses a sarcastic expression 'This man's CGI machine must be burning.' The word choice in this phrase suggests that the person finds something amusing or ridiculous about the situation. Additionally, the context from the transcript (not provided) might indicate that the speaker is making fun of someone who has created an overly elaborate CGI animation.",1.30,0.00,164,0.04,94,1.26,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the video, using words like 'great' and 'amazing'. The mention of a large CGI crew suggests that the creator has invested significant time and resources into their work. Additionally, the phrase 'Genius is expensive' implies that the creator's efforts are worth paying attention to.",1.21,0.01,187,0.06,85,1.14,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The sentiment of this comment can be classified as negative due to several factors. Firstly, the tone used in the comment is confrontational and accusatory, with phrases such as 'Hardest thing for Mr Jason' implying that he is being challenged or criticized. Additionally, the use of words like 'talking to the wall' suggests a sense of frustration and helplessness. Furthermore, the context provided by the surrounding comments may indicate that this commenter has had negative experiences in similar situations, which further reinforces the negative sentiment.",1.72,0.01,170,0.04,124,1.67,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The YouTube comment 'Respect for leaving in the blooper' has a positive sentiment. The tone of the comment is respectful and appreciative, with an emphasis on acknowledging the person's actions rather than criticizing them. Key phrases such as 'respect' and 'blooper' contribute to this positive sentiment. Additionally, the context from the transcript does not suggest any negative emotions or intentions.",1.36,0.01,160,0.04,98,1.31,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The YouTube comment is filled with positive sentiment, evident from the use of exclamation marks and enthusiastic language such as 'Leap out of the deck??!!', 'Jason you leave me stunned my friend!!!', and 'MASTER GOAT!'. The tone is playful and celebratory. Key phrases like 'Greetz Spiecull' also contribute to a positive sentiment, suggesting that the commenter appreciates Jason's performance.",1.55,0.01,209,0.06,109,1.48,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this YouTube comment can be analyzed as positive due to several factors. Firstly, the tone of the comment is assertive and confident, which indicates a strong opinion about the person being referred to. The use of words like 'best' and 'arrogant' also suggests that the speaker has high regard for the individual in question. Additionally, the phrase ",1.33,0.01,174,0.04,94,1.28,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The YouTube comment is positive as it expresses enthusiasm and admiration for the video content. The tone of the comment is enthusiastic, using words like 'absolutely' and 'incredible.' These phrases indicate a strong emotional response to the video.",0.95,0.01,162,0.04,68,0.91,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The YouTube comment expresses a positive sentiment towards the channel, as evidenced by phrases such as 'I really enjoy this channel' and 'mind blowing.' The use of words like 'eh' also suggests a friendly tone. Additionally, the mention of card manipulation skills implies that the viewer appreciates the content creator's expertise.",1.18,0.01,181,0.06,83,1.11,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The YouTube comment contains a negative sentiment due to several factors. Firstly, the tone of the comment is sarcastic and dismissive, as evident from the phrase 'Aha!mm' which implies that the person feels they have figured out something but is not impressed by it. Additionally, the use of words like 'figuree', 'just behind Jason's head', and 'roughly around 42 seconds in' convey a sense of frustration or annoyance.",1.62,0.01,224,0.08,112,1.53,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The YouTube comment 'Shuffles legit obviously.' is a positive sentiment as it expresses approval and confidence in the shuffling technique. The tone of the comment is casual, conversational, and assertive, which contributes to its overall positivity.",0.92,0.01,160,0.04,66,0.88,0,1,8192
