Comment,mistral-small:22b - Sentiment,mistral-small:22b - Reasoning,mistral-small:22b - Total Duration,mistral-small:22b - Load Duration,mistral-small:22b - Prompt Eval Count,mistral-small:22b - Prompt Eval Duration,mistral-small:22b - Eval Count,mistral-small:22b - Eval Duration,mistral-small:22b - Temperature,mistral-small:22b - Seed,mistral-small:22b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses a negative sentiment towards the quality of the CGI in the video. The phrase 'burning' suggests that the CGI is so bad it is causing damage or overheating, which is a criticism. The use of the laughing emoji (😂) indicates that the commenter finds the poor quality humorous rather than appreciative.",7.58,0.01,170,0.34,95,7.23,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses praise and admiration for the creator's work. The use of phrases like 'another great vid', 'amazing tricks', and 'genius' indicates a positive emotional tone. The mention of the CGI crew and their size suggests appreciation for the effort and skill involved in producing high-quality content. The final statement, 'Genius is expensive', can be interpreted as acknowledging the value and quality of the creator's work rather than criticism.",9.56,0.01,192,0.60,117,8.95,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"Tone analysis: The comment has a sarcastic and critical tone, suggesting dissatisfaction or mockery. Key phrases or words that influenced this decision include 'talking to the wall' and 'like there is actually someone standing.' These phrases imply that Mr. Jason is not effectively engaging with his audience, which is a negative assessment of his performance. Context consideration: Without additional context from the transcript, it's difficult to determine if the commenter is being genuinely critical or using humor to point out a perceived flaw. However, the use of 'hardest thing' suggests that the commenter finds this aspect challenging or problematic.",12.11,0.01,175,0.35,153,11.75,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses 'respect' for the decision to leave a blooper in, indicating approval and appreciation. The use of the word 'respect' is key here as it conveys a positive emotion towards the action taken.",5.42,0.01,166,0.34,67,5.07,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses a positive emotional tone throughout, using exclamation marks and emojis to emphasize excitement and joy. Key phrases such as 'MASTER GOAT' indicate admiration and praise. The use of laughter emojis (😂) suggests amusement and enjoyment. Overall, the context is one of celebration and appreciation for Jason.",7.80,0.01,205,0.61,94,7.19,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration and approval for someone who is confident in their abilities, indicating a positive sentiment. Key phrases such as 'I love when' and 'You've certainly earned the right' convey support and respect. The context suggests that the speaker appreciates confidence backed by skill or achievement.",6.67,0.01,181,0.35,83,6.32,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses a strong positive emotion towards the waterfall and its appearance. The use of the word 'incredible' indicates high praise and admiration. Additionally, the exclamation mark at the end emphasizes the excitement and enthusiasm of the commenter.",6.11,0.01,168,0.34,76,5.76,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive emotional tone throughout. Key phrases and words that influenced this decision include: 'really enjoy', 'mind blowing'. The use of the Canadian flag emoji (🇨🇦) and the casual sign-off 'eh' suggest familiarity and friendliness, further reinforcing the positive sentiment. There is no context from a transcript available, but the comment stands alone in conveying appreciation and admiration for the channel.",9.81,0.01,188,0.60,120,9.20,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"Tone analysis: The comment has a sarcastic and dismissive tone, indicated by the use of 'Aha!mm' and 'i figuree it out'. These phrases suggest that the commenter is being facetious rather than genuinely positive. Key phrases or words that influenced the decision include 'no idea how he does it', which indicates confusion or frustration with the content. Context consideration: The comment appears to be critiquing a video, possibly suggesting that the creator's actions are not clear or well-explained. Overall, the comment conveys a negative sentiment due to its sarcastic tone and expression of confusion.",12.53,0.01,228,0.87,151,11.65,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' conveys a positive sentiment. The use of the word 'legit' suggests approval or validation, and 'obviously' indicates that the statement is clear and undeniable. The overall tone is affirmative and supportive.",6.12,0.01,165,0.34,76,5.77,0,1,8192
