Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The sentiment of the YouTube comment is negative. The tone of the comment is sarcastic and dismissive, with a hint of amusement. The use of the word 'haha' at the end further emphasizes the negative sentiment.",1.01,0.01,629,0.04,65,0.96,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The YouTube comment expresses dissatisfaction and disappointment in the video's content. The tone of the comment is negative, as evident from phrases like 'Another great vid' being followed by 'His CGI crew must be up to half a dozen employees.' This indicates that the viewer feels overwhelmed or frustrated with the amount of effort required for the tricks shown.",1.38,0.01,652,0.06,88,1.31,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The sentiment of this YouTube comment can be classified as NEGATIVE. The tone of the comment is sarcastic and mocking, with phrases such as 'Hardest thing for Mr Jason - talking to the wall like there is actually someone standing.' This indicates that the speaker finds it difficult or impossible for Mr. Jason to engage in a conversation with the wall.",1.40,0.01,635,0.04,91,1.35,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The sentiment of this comment is negative because it contains a word that indicates disrespect, which contradicts the positive tone of the video. The phrase 'Respect for leaving in the blooper' suggests that the person who made the video did not appreciate the mistake they were making.",1.14,0.01,626,0.04,74,1.09,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The YouTube comment is filled with positive emotions and phrases that indicate enthusiasm, admiration, and excitement for the video content. The tone of the comment is light-hearted and playful, which suggests a neutral to slightly positive sentiment.",1.03,0.00,674,0.06,64,0.96,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this comment can be analyzed by looking at the tone, key phrases, and context provided in the video transcript. The comment starts with a positive statement about someone being good at something, which indicates a neutral or slightly positive sentiment. However, as the comment progresses, it shifts towards a more positive sentiment due to the mention of arrogance and the speaker's apparent admiration for the person who is arrogant.",1.56,0.01,638,0.04,101,1.51,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The YouTube comment expresses enthusiasm and amazement at the video's content, using words like 'absolutely incredible' which indicate a positive emotional tone. The use of exclamation marks also adds to the excitement and positivity in the sentiment.",1.02,0.01,626,0.04,66,0.98,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the channel, using words like 'mind-blowing' to describe the card manipulation skills. The tone is positive as well, with a friendly greeting and an expression of appreciation.",1.00,0.01,646,0.06,63,0.94,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The YouTube comment is filled with skepticism and disbelief. The user starts by saying, 'Aha!mm... I figure it out,' which indicates a sense of frustration or disappointment. They then ask for clarification on how the card leap was done, suggesting that they are not convinced by the explanation provided.",1.30,0.01,689,0.08,80,1.21,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The sentiment of the comment is negative because it contains several key phrases that indicate dissatisfaction or frustration with the video content. The phrase 'shuffles legit' implies that the speaker believes the card shuffling in the video was not done correctly, which may have led to a lack of excitement and interest in the topic being discussed.",1.31,0.00,624,0.04,85,1.26,0,1,8192
