Comment,qwen2.5:0.5b - Sentiment,qwen2.5:0.5b - Reasoning,qwen2.5:0.5b - Total Duration,qwen2.5:0.5b - Load Duration,qwen2.5:0.5b - Prompt Eval Count,qwen2.5:0.5b - Prompt Eval Duration,qwen2.5:0.5b - Eval Count,qwen2.5:0.5b - Eval Duration,qwen2.5:0.5b - Temperature,qwen2.5:0.5b - Seed,qwen2.5:0.5b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses sarcasm and irony, expressing frustration with the user for not paying attention to the request. The tone is sarcastic and mocking, which contributes to the negative sentiment.",0.42,0.01,624,0.02,54,0.39,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration for the cosmetic dentist and her skills, highlighting her ability to perform impressive tricks. The use of phrases like 'genius' and 'expensive' indicates a positive sentiment towards the subject.",0.49,0.01,645,0.03,60,0.45,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and disappointment with a cosmetic dentist, highlighting the difficulty of interacting with a real person. The use of exclamation marks emphasizes the speaker's anger and dissatisfaction.",0.42,0.01,630,0.02,53,0.39,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses a positive sentiment towards leaving, highlighting the importance of respect and maintaining a good atmosphere. The use of 'respect' and the overall tone convey a sense of admiration and appreciation for someone's presence or actions.",0.48,0.01,621,0.02,62,0.45,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses excitement and enthusiasm about the cosmetic dentist request, using positive language like 'Leap out of the deck' and 'Master Goat'. The use of emojis and hashtags also contribute to a positive tone. Additionally, the context suggests that Jason is in San Diego and wants a top cosmetic dentist there, which aligns with the overall positive sentiment.",0.70,0.01,656,0.03,87,0.67,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration and appreciation for a top cosmetic dentist in San Diego, highlighting their expertise and success. The use of positive language like 'love' and 'earned the right' indicates a positive sentiment towards the subject.",0.50,0.01,633,0.02,62,0.46,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment uses positive language such as 'absolutely incredible' and emphasizes the value of the card, indicating a positive sentiment.",0.34,0.01,621,0.02,43,0.31,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses admiration and appreciation for the author's skill in card manipulation, highlighting their ability to make cards leap out of a deck. The use of exclamation points and emojis further emphasizes the positive sentiment.",0.47,0.01,635,0.02,59,0.44,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The comment is positive because it highlights a specific detail (the angle of the green case) and provides context about Jason's appearance, which makes the speaker feel good about the cosmetic dentist. The use of 'aha' and the overall tone convey enthusiasm and satisfaction with the information provided.",0.59,0.01,683,0.04,74,0.54,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment uses positive language such as 'legit' and 'obviously', which indicates a positive sentiment. The phrase 'shuffles' suggests an action that is likely to be enjoyable or beneficial, further supporting the positive tone of the comment.",0.53,0.01,618,0.02,67,0.50,0,1,8192
