Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment contains a negative sentiment as it uses an exaggerated and humorous expression. The word ""burning"" is used to emphasize the absurdity of the situation, which contributes to the overall negative tone.",0.63,0.01,613,0.04,60,0.58,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEUTRAL,"The comment provides a balanced view of the video's content. It acknowledges the technical effort required for CGI, but also highlights the viewer's appreciation and enjoyment of the performance. The sentiment is neutral because it does not express positive or negative emotions towards the video content.",0.76,0.01,634,0.06,72,0.70,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment contains negative language and phrases such as ""hardest thing"" and ""talking to the wall like there is actually someone standing"". The tone of the comment seems to be critical or disapproving, which influences the classification as NEGATIVE.",0.73,0.01,617,0.04,71,0.68,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment expresses disappointment with the video's content, specifically regarding the lack of a 'king' from the deck. The use of words like ""blooper"" and the mention of ""$500"" further emphasize the negative sentiment.",0.67,0.01,608,0.04,65,0.62,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The sentiment of the YouTube comment is negative because it contains several negative phrases such as ""Leap out of the deck??!!"" and ""cgi machines ready"" which indicate dissatisfaction or frustration. The phrase ""Jason you leave me stunned my friend!!!"" further emphasizes this negative sentiment, suggesting that the commenter is not satisfied with the content or service provided by Dr Elana.",1.04,0.01,662,0.07,97,0.95,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment contains negative language and criticism towards the individual, which indicates a negative sentiment. The phrase ""you've certainly earned the right"" further emphasizes this stance as it implies that the person is wrong or unfit in their role.",0.68,0.01,620,0.04,66,0.63,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses a positive sentiment towards the video content, specifically mentioning the King of Hearts Leap and the ease of achieving this feat. The use of words like ""incredible"" further emphasizes the positive sentiment.",0.64,0.01,608,0.04,61,0.59,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive sentiment towards the YouTube channel, highlighting the viewer's appreciation for the card manipulation skills demonstrated by the host. The use of emoticons and emojis further emphasizes this positive sentiment.",0.65,0.01,627,0.06,60,0.59,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEUTRAL,"The comment provides a balanced view of the video's content. It acknowledges the technical aspects involved, such as using CGI machines and understanding the mechanics behind the King of Hearts Leap. However, it also highlights the simplicity of the process, which is a positive aspect. The sentiment remains neutral because the comment does not express strong positivity or negativity but rather presents an accurate representation of the video's content.",1.08,0.01,669,0.08,101,0.99,0,1,8192
"""Shuffles legit obviously.""",NEUTRAL,"The comment provides a balanced view of the situation. It acknowledges the challenge in achieving King of Hearts Leap, but also highlights the ease of getting such a high price for cosmetic services. The use of 'Shuffles' implies that there is some level of effort or skill involved, which adds to the neutral sentiment. However, the overall tone and key phrases suggest a positive sentiment towards the service and its value.",1.04,0.01,606,0.04,102,0.99,0,1,8192
