Comment,mistral-small:22b - Sentiment,mistral-small:22b - Reasoning,mistral-small:22b - Total Duration,mistral-small:22b - Load Duration,mistral-small:22b - Prompt Eval Count,mistral-small:22b - Prompt Eval Duration,mistral-small:22b - Eval Count,mistral-small:22b - Eval Duration,mistral-small:22b - Temperature,mistral-small:22b - Seed,mistral-small:22b - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"The comment 'This man's CGI machine must be burning  😂' indicates a positive sentiment due to the use of humor and emojis. The phrase 'CGI machine' is a playful reference to the video's context, where the creator mentions needing to use CGI for a trick. The laughing emoji further emphasizes the humorous intent. Overall, the comment shows amusement and appreciation for the video's content.",9.69,0.01,668,0.35,114,9.33,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The emotional tone of the comment is appreciative and admiring. The use of phrases like 'another great vid' and 'his amazing tricks' indicates a positive opinion about the video content. The mention of a large CGI crew suggests recognition of the effort and skill involved in creating the effects, which is framed positively as 'Genius is expensive'. This comment praises both the quality of the video and the expertise behind it.",9.69,0.01,691,0.62,111,9.06,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The emotional tone of the comment is critical and mocking. The word choice, particularly 'talking to the wall,' suggests that the commenter believes Mr. Jason is delusional or ineffective in his communication. This phrase implies a lack of engagement or response from an audience, which is negative. Additionally, the use of 'like there is actually someone standing' further emphasizes the perceived disconnect between Mr. Jason and any potential audience. Considering the video context where Mr. Jason is performing a trick and interacting with the camera, this comment critiques his ability to engage viewers effectively.",12.15,0.01,673,0.35,144,11.78,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment 'Respect for leaving in the blooper' expresses a positive sentiment. The use of the word 'respect' indicates admiration or approval, and the phrase 'leaving in the blooper' suggests that the commenter appreciates the authenticity and transparency of including mistakes or outtakes in the video. This positive tone is reinforced by the context of the video transcript, where the creator showcases their skills with a playful and humorous approach, making the inclusion of a 'blooper' fitting and entertaining.",11.24,0.01,664,0.34,133,10.88,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The emotional tone of the comment is enthusiastic and admiring, indicated by the use of exclamation marks, laughter emojis (😂), and heart emojis (❤). Key phrases such as 'MASTER GOAT' and 'you leave me stunned my friend!!!' show high praise and admiration. The context from the transcript involves a magic trick with cards, where the commenter is impressed by the performance. Overall, the comment expresses excitement and appreciation for Jason's skills.",10.90,0.00,703,0.62,126,10.28,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The emotional tone of the comment is appreciative and admiring. The use of the phrase 'the best at something' indicates a high level of respect for the subject, and the word 'arrogant' is used in a context that suggests it is seen as a positive trait in this specific scenario. The commenter acknowledges that the person has earned their confidence or arrogance due to their skills. There is no negative language or criticism present in the comment.",9.69,0.01,678,0.36,115,9.32,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The emotional tone of the comment is enthusiastic and impressed, indicated by words like 'absolutely' and 'incredible'. The use of 'waterfall with two cards' shows that the commenter is specifically referring to a trick mentioned in the video transcript, demonstrating their engagement with the content. Overall, the comment expresses admiration for the performance described.",8.19,0.01,665,0.35,97,7.83,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The emotional tone of the comment is enthusiastic and appreciative. The use of phrases like 'I really enjoy this channel' and 'Your card manipulation skills are mind blowing' indicates a high level of admiration and enjoyment. The inclusion of friendly expressions such as 'Take care eh ✌️🇨🇦' further emphasizes the positive sentiment. Considering the video context, where the creator showcases impressive card tricks, the comment aligns well with the content, expressing genuine appreciation for the skills demonstrated.",11.44,0.01,686,0.61,133,10.82,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEUTRAL,"The emotional tone of the comment is neutral, as it neither expresses positive nor negative emotions. The word choice includes phrases like 'figuree it out' and 'i have no idea how he does it,' which indicate curiosity and confusion rather than praise or criticism. The context from the transcript involves a magic trick performance, and the comment focuses on trying to understand the method behind the trick without expressing any sentiment towards the performer or the quality of the trick itself.",10.53,0.01,726,0.89,118,9.63,0,1,8192
"""Shuffles legit obviously.""",NEUTRAL,"The comment 'Shuffles legit obviously.' is neutral in sentiment. The tone is matter-of-fact and straightforward, without any emotional charge or opinion expressed. The key phrase 'legit' suggests a factual observation rather than an evaluation of quality or performance. Considering the video context where the speaker is demonstrating card tricks and mentioning a dentist, this comment seems to be a simple acknowledgment of the shuffling technique without any positive or negative connotation.",10.14,0.01,662,0.35,121,9.78,0,1,8192
