Comment,llama3.2:1b - Sentiment,llama3.2:1b - Reasoning,llama3.2:1b - Total Duration,llama3.2:1b - Load Duration,llama3.2:1b - Prompt Eval Count,llama3.2:1b - Prompt Eval Duration,llama3.2:1b - Eval Count,llama3.2:1b - Eval Duration,llama3.2:1b - Temperature,llama3.2:1b - Seed,llama3.2:1b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The tone of the comment is sarcastic and mocking, indicated by the use of excessive punctuation (multiple exclamation points) and a laugh emoji (😂). The phrase 'This man's CGI machine must be burning' is particularly telling, suggesting that the speaker thinks the CGI process is inefficient or unnecessary. Additionally, the comparison of Dr Elana to a 'queen and an ace' and the use of exaggerated language ('hustle', 'easy') reinforce the negative sentiment. Furthermore, the comment seems to be making fun of the video's attempt at creating complex card combinations, implying that it is not well-executed or impressive. Overall, the tone and language used in this comment convey a strong sense of negativity towards the video and its creators.",1.84,0.01,612,0.03,168,1.80,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The sentiment of this comment can be classified as NEGATIVE due to the following reasons:
- The commenter uses a derogatory term 'Queen and an Ace' which implies that Dr. Elana's skills are not impressive.
- They also mention that it's expensive, implying that they don't think Dr. Elana is worth the cost.
- The tone of the comment seems to be mocking or belittling, as evidenced by the phrase 'Genius is expensive', which suggests that the commenter thinks Dr. Elana is overpriced.
- Additionally, the commenter's use of phrases like 'Another great vid' and 'amazing tricks' implies that they don't think Dr. Elana's work is exceptional or impressive.
- The context of the comment seems to be a criticism of Dr. Elana's CGI skills, which suggests that the commenter thinks she relies too heavily on special effects rather than actual talent or skill.",2.32,0.01,633,0.04,210,2.27,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment's emotional tone is one of frustration and annoyance. The phrase 'this one got my attention' implies that the speaker was expecting a more challenging or interesting task, but instead received something easy. The use of phrases like 'pull a queen and an ace together from the waterfall' and 'nothing on top nothing on the bottom no Ace Queen nothing in my hands' convey a sense of exasperation. Additionally, the comment's tone is sarcastic when it says 'only two cards I will push these cards into the deck like this', implying that the speaker was expecting more complexity or difficulty. The context from the transcript suggests that Mr Jason is trying to create a simple animation, but the speaker finds it too easy and frustrating. Overall, the comment's tone and language suggest a negative sentiment towards the task at hand.",2.08,0.01,618,0.03,183,2.04,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment's emotional tone is one of disrespect and frustration. The phrase 'this one got my attention' implies that the speaker was expecting a more impressive or professional response, but instead received something mundane and unimpressive. The use of phrases like 'pull a queen and an ace together from the waterfall' and 'nothing on top nothing on the bottom no Ace Queen nothing in my hands' convey a sense of annoyance and frustration. Additionally, the comment's tone is sarcastic when it says 'only two cards I will push these cards into the deck like this', implying that the speaker was expecting more complexity or effort from the host. The context provided by the transcript suggests that the video is about playing Magic: The Gathering, a game known for its complexity and strategy, but in this case, the host's performance seems to be lacking. Overall, the comment's tone and language suggest that it is negative towards the host's performance.",2.28,0.01,609,0.03,205,2.24,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The sentiment of this comment is NEGATIVE due to the following reasons: The use of excessive and exaggerated language, such as 'Leap out of the deck??!!', which creates a humorous but also somewhat mocking tone. Additionally, the phrase 'you leave me stunned my friend!!!' implies that the speaker is surprised or impressed by something, but in this case, it comes across as insincere or even sarcastic. The use of all caps for emphasis ('😂') and excessive punctuation (e.g., multiple exclamation points) also contribute to a negative tone. Furthermore, the comment's focus on Jason's supposed 'master goate' is perceived as condescending and dismissive, which further reinforces the NEGATIVE sentiment. Overall, the tone is playful but also somewhat belittling, indicating a NEGATIVE sentiment towards the speaker.",2.13,0.01,646,0.04,186,2.08,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The sentiment of this comment can be classified as NEGATIVE due to its tone and language used. The commenter starts by expressing admiration for Dr Elana's skills, but then shifts to a sarcastic remark about being 'arrogant'. This is followed by a statement that the person has earned the right to be arrogant, which reinforces the negative sentiment. Additionally, the use of phrases like 'You've certainly earned the right' and 'I love when someone who is the best at something is arrogant' convey a sense of disdain and mocking tone. The context provided in the transcript does not seem to support a positive or neutral interpretation of the comment, as it appears to be a criticism of Dr Elana's arrogance rather than a genuine compliment.",1.85,0.01,621,0.03,166,1.81,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment's emotional tone is overwhelmingly positive, as indicated by the use of words like 'incredible', 'absolutely', and 'good'. The language used is enthusiastic and celebratory, with phrases such as 'I am so good' and 'welcome to the hustle'. Additionally, the tone is optimistic, suggesting that the speaker has high expectations for Dr. Elana's cosmetic dentistry services in San Diego. The use of superlatives like 'only one place to go' reinforces this positive sentiment. Furthermore, the comment does not contain any negative language or phrases that would suggest a different emotional tone. Overall, the analysis suggests that the sentiment is strongly positive due to the speaker's glowing praise for Dr. Elana and her services.",1.90,0.01,609,0.03,167,1.86,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment starts with a positive statement 'I really enjoy this channel', indicating the speaker has a strong affection for the content. The use of enthusiastic language, such as 'mind blowing' and 'take care eh', further emphasizes their positive sentiment. Additionally, the mention of specific skills demonstrated by the creator ('card manipulation') suggests that they are highly skilled and entertaining to watch. The tone is also playful and lighthearted, with a friendly greeting ('eh'). However, the comment does not contain any negative language or phrases that would suggest a more neutral or critical sentiment. Overall, the speaker's positive emotions and admiration for the content lead me to classify their sentiment as POSITIVE.",1.80,0.01,627,0.04,156,1.74,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The tone of this comment is sarcastic and mocking. The use of phrases like 'Aha!mm' and 'I figuree it out' convey a sense of superiority, implying that the commenter thinks they are clever or insightful. However, their explanation for how Jason's face appears to be made of glass is ridiculous and lacks any logical basis. The comment also contains several typos and grammatical errors, which further detract from its credibility. Furthermore, the tone becomes increasingly absurd as the comment progresses, with phrases like 'roughly around 42 seconds in' and 'you will notice that i have no idea how he does it'. This suggests that the commenter is not genuinely interested in explaining their method, but rather is trying to be humorous or attention-grabbing. Overall, this comment's tone and content are clearly negative, with a strong sense of sarcasm and ridicule.",2.20,0.01,670,0.05,196,2.14,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment's tone is dismissive and sarcastic, with the phrase 'Shuffles legit' being a clear indicator of disdain. The use of the word 'legit' also implies that the speaker thinks something is fake or not genuine. Additionally, the comment's brevity and lack of context suggest that it may be a troll comment designed to provoke a reaction rather than provide helpful information. Furthermore, the mention of Dr Elana as a 'top cosmetic dentist in San Diego' seems out of place given the tone of the comment, which suggests that the speaker is not genuinely interested in learning about her services. Overall, the sentiment of this comment appears to be negative due to its dismissive and sarcastic tone.",1.78,0.01,606,0.03,162,1.74,0,1,8192
