Comment,llama3.2:3b - Sentiment,llama3.2:3b - Reasoning,llama3.2:3b - Total Duration,llama3.2:3b - Load Duration,llama3.2:3b - Prompt Eval Count,llama3.2:3b - Prompt Eval Duration,llama3.2:3b - Eval Count,llama3.2:3b - Eval Duration,llama3.2:3b - Temperature,llama3.2:3b - Seed,llama3.2:3b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses a negative sentiment towards the person in the video, specifically their use of CGI machines. The tone is playful and humorous, indicated by the laughing face emoji (😂), but the word choice itself is mocking and dismissive. The phrase 'must be burning' implies that the person's machine is inefficient or wasteful, which contributes to the negative sentiment. This comment suggests that the creator of the video is being ridiculed for their use of CGI machines.",2.02,0.01,612,0.07,112,1.94,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the user expressing admiration for the creator's CGI skills and implying that their crew must be highly skilled. The use of words like 'great', 'amazing', and 'genius' further emphasize the commenter's enthusiasm. Additionally, the phrase 'Genius is expensive' suggests that the commenter values the creator's expertise and is willing to pay a premium for it. Overall, the comment conveys a sense of admiration and appreciation for the creator's work.",2.19,0.01,633,0.11,119,2.06,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment's emotional tone is one of frustration and annoyance. The word choice, 'hardest thing', implies a sense of difficulty or challenge, which suggests that the speaker finds the task unpleasant. The phrase 'talking to the wall' also has a connotation of talking to an empty space, which reinforces the idea that the speaker is frustrated with the situation. There is no positive language or sentiment in this comment, which further supports the classification as negative.",2.02,0.01,618,0.07,110,1.93,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment's emotional tone is one of admiration and appreciation. The word choice, 'Respect', conveys a sense of admiration and respect for the creator's decision to leave a bloopers in the video. The phrase 'leaving in the blooper' suggests that the creator intentionally included a mistake or an unexpected moment, which adds to the humor and entertainment value of the video. This type of comment is often left by viewers who enjoy the lighthearted and humorous tone of the content. Overall, the sentiment is positive as it expresses admiration for the creator's decision-making process.",2.48,0.01,609,0.07,138,2.40,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the use of enthusiastic language and exaggerated expressions such as '😂' and '🎉'. The word choice also contributes to a lighthearted and celebratory atmosphere. Key phrases like 'LEAP out of the deck??!!', 'MASTER GOAT', and 'Greetz Spiecull' further emphasize the commenter's excitement and admiration for the video creator, Jason. The tone is playful and humorous, suggesting that the commenter found the video entertaining and impressive. Overall, the sentiment is one of admiration and enthusiasm, indicating a strongly positive emotional response to the content.",2.69,0.01,646,0.11,146,2.56,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment's emotional tone is one of admiration and respect, conveyed through the use of words like 'love' and 'arrogant'. The speaker seems to appreciate the person's confidence and expertise in their field. Key phrases such as 'I love when someone who is the best at something is arrogant' suggest that the speaker finds arrogance in a confident individual endearing. This sentiment is further reinforced by the comment's tone, which is lighthearted and playful. The speaker's use of sarcasm ('You've certainly earned the right') also adds to the positive tone, implying that the person has worked hard to achieve their status as an expert. Overall, the comment expresses a positive sentiment towards the person being praised for their arrogance.",3.01,0.01,621,0.07,167,2.92,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment's emotional tone is overwhelmingly enthusiastic and admiring. The use of the word 'absolutely' emphasizes the commenter's strong positive emotions towards the video's magic trick, specifically the 'Waterfall with two cards'. This phrase suggests that the commenter finds the trick to be incredibly impressive and enjoyable to watch. Additionally, the brevity and simplicity of the comment reinforce its positive tone, implying that the commenter is genuinely excited about the content. Overall, the sentiment of this comment is clearly positive, indicating a strong appreciation for the video's magic trick.",2.42,0.01,609,0.07,129,2.34,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the user expressing admiration for the channel's content and the creator's skill. The use of phrases such as 'I really enjoy this channel' and 'Your card manipulation skills are mind blowing' convey a strong sense of enthusiasm and appreciation. Additionally, the inclusion of emojis (✌️🇨🇦) adds to the positive tone, suggesting that the user is feeling friendly and supportive. The comment's brevity and simplicity also contribute to its positive sentiment, implying that the user has a high level of respect for the channel and its content.",2.62,0.01,627,0.11,140,2.50,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The comment's emotional tone is one of excitement and amazement, as evident from the use of 'Aha!' and 'i figuree it out'. The language used is informal and playful, with phrases like 'payclose attention' and 'roughly around 42 seconds in', which convey a sense of enthusiasm and engagement. The comment also expresses admiration for the magician's skill, stating 'you will notice that i have no idea how he does it', which suggests a positive sentiment towards the performance. Overall, the tone is lighthearted and celebratory, indicating a positive emotional state.",2.69,0.01,670,0.15,140,2.52,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment's emotional tone is casual and playful, with a hint of sarcasm. The use of the word 'legit' in an exaggerated manner suggests that the speaker finds the card shuffle impressive or amusing. The phrase 'Shuffles legit obviously' can be interpreted as a tongue-in-cheek expression of admiration for the magician's skill. Overall, the tone is lighthearted and supportive, indicating a positive sentiment towards the magician's performance.",2.03,0.01,606,0.07,109,1.95,0,1,8192
