Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"The comment 'This man's CGI machine must be burning  😂' uses a playful tone with an emoji, indicating humor. The phrase 'burning' suggests something is working overtime or in high gear, which can imply excitement or admiration rather than criticism. The smiley face further emphasizes the positive and lighthearted nature of the comment. Additionally, the context from the video transcript discusses creating effects like pulling cards together, which are impressive and require skill, leading to a positive sentiment overall.",4.37,0.01,591,0.14,124,4.22,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment starts with 'Another great vid' indicating enthusiasm and satisfaction. The phrase 'His CGI crew must be up to half a dozen employees' suggests admiration for the person's success, implying that their work requires many skilled individuals. 'Genius is expensive' could be seen as a compliment, acknowledging that high talent comes with a cost. Overall, the tone is positive, highlighting achievements and the effort behind them.",3.83,0.01,612,0.24,105,3.58,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The comment humorously criticizes Mr. Jason's inability to effectively communicate, suggesting that his interactions are ineffective or non-existent ('talking to the wall'). This could imply that others find his communication lacking, but it is presented in a light-hearted manner without malicious intent.",2.74,0.01,597,0.14,76,2.59,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment 'Respect for leaving in the blooper' indicates a positive sentiment. The word 'respect' is used positively to acknowledge something, and 'bloopers' often refer to funny or interesting mistakes that add entertainment value. This suggests the viewer enjoyed the content despite any imperfections, showing appreciation for the effort and humor in the video.",3.37,0.01,588,0.14,94,3.21,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment uses exclamation marks and emojis to express excitement, indicating a positive tone. Words like 'stunned,' 'master goat,' and 'greetz' show admiration and respect towards the content creator, further contributing to a positive sentiment.",2.73,0.01,625,0.25,72,2.47,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment 'I love when someone who is the best at something is arrogant. You've certainly earned the right.' exhibits a POSITIVE tone. The speaker admires the individual's skill and acknowledges their expertise, which is reflected in the phrase 'you've certainly earned the right.' This indicates respect for the person's abilities and achievements. Additionally, the use of 'love' conveys admiration rather than criticism. There are no negative words or phrases that would suggest a negative sentiment. The context from the video transcript discusses a request for a cosmetic dentist, which is a professional service, but the comment itself focuses on admiration and respect rather than any potential negative aspects.",5.39,0.01,600,0.14,154,5.23,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment 'Waterfall with two cards. Absolutely incredible!' demonstrates a strong positive sentiment. The use of the word 'incredible' is a clear indicator of enthusiasm and admiration. Additionally, the mention of a 'waterfall' in the context of card manipulation suggests that the commenter is impressed by the skill or performance being showcased, further reinforcing a positive tone.",3.44,0.01,588,0.14,96,3.29,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment begins with 'I really enjoy this channel,' indicating a positive sentiment towards the content. The phrase 'your card manipulation skills are mind blowing' further emphasizes admiration and appreciation, which are strong indicators of positivity. Additionally, the use of emojis like ✌️ and 🇨🇦 adds a friendly and positive tone. Overall, the comment conveys enthusiasm and satisfaction with the channel's content.",3.71,0.01,606,0.14,104,3.55,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The comment uses an exclamation mark and ellipses, indicating excitement. The user is pointing out a specific detail in the video, suggesting they are engaged with the content. Words like 'figuree it out' and 'payclose attention' show curiosity and interest. The overall tone is curious and interested rather than negative or neutral.",3.40,0.01,649,0.34,89,3.04,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' is positive in tone. The phrase 'legit' conveys approval and confidence, indicating that the person finds the action or behavior (shuffling cards) to be effective and genuine. Additionally, the use of 'obviously' suggests a confident assertion, further reinforcing a positive sentiment.",3.07,0.01,585,0.14,86,2.91,0,1,8192
