Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses a laughing emoji, indicating mild amusement or irritation. The phrase 'burning' suggests frustration with the cost or complexity of the services described in the video transcript. The overall tone is negative as it implies dissatisfaction with the $500 request for a top cosmetic dentist.",2.76,0.01,599,0.13,79,2.62,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses approval of the video's content, mentioning that the CGI effects are impressive and require multiple employees. The use of words like 'amazing' and 'expensive' conveys a positive sentiment towards the skill demonstrated by Dr. Elana.",2.66,0.01,620,0.23,73,2.42,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration with Mr. Jason's delivery, suggesting that his attempt to engage with the audience was ineffective or unappreciated.",1.92,0.01,605,0.14,52,1.77,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment 'Respect for leaving in the blooper' conveys a sense of boredom or disinterest. The use of 'respect' here is more about acknowledging the effort put into making the video engaging, rather than expressing enthusiasm. The phrase 'leaving in the blooper' suggests that the viewer found the content less engaging and preferred something else (the blooper reel), indicating a lack of interest or positive sentiment towards the original video.",3.79,0.01,596,0.13,111,3.65,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses strong positive emotions, using emojis and enthusiastic language to convey excitement about the offer. The use of words like 'master goat' indicates high satisfaction with the service described in the video transcript.",2.32,0.01,631,0.23,62,2.07,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards someone who is portrayed as arrogant, suggesting that their expertise in cosmetic dentistry does not warrant such behavior. The use of words like 'arrogant' indicates a preference for someone who is confident yet humble.",2.61,0.01,608,0.14,73,2.46,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses enthusiasm and appreciation for the visual effect described, using words like 'Waterfall' which conveys awe and wonder.",1.86,0.01,596,0.13,50,1.71,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment of the content, uses positive language like 'mind blowing' and ends with a friendly gesture.",1.67,0.01,610,0.14,45,1.52,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses frustration and confusion about the explanation provided for how Dr. Elana achieved her trick, which is described as costing $500. The use of words like 'roughly around 42 seconds in' suggests uncertainty and doubt about the method described.",2.86,0.01,658,0.31,76,2.54,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment 'Shuffles legit obviously.' conveys a sense of disapproval or skepticism towards the legitimacy of the shuffling process described in the video. The use of words like 'legit' and 'obviously' suggests that the viewer finds the method described as being too straightforward, which could imply a lack of complexity or perhaps even a rip-off. This sentiment is likely negative because it reflects a critical reaction to the claim made by Dr. Elana in the video.",3.98,0.01,593,0.13,117,3.84,0,1,8192
