Comment,deepseek-r1:1.5b - Sentiment,deepseek-r1:1.5b - Reasoning,deepseek-r1:1.5b - Total Duration,deepseek-r1:1.5b - Load Duration,deepseek-r1:1.5b - Prompt Eval Count,deepseek-r1:1.5b - Prompt Eval Duration,deepseek-r1:1.5b - Eval Count,deepseek-r1:1.5b - Eval Duration,deepseek-r1:1.5b - Temperature,deepseek-r1:1.5b - Seed,deepseek-r1:1.5b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses a play on words with 'CGI machine' and 'burning', which is humorous but not appropriate for a professional setting. The mention of a top cosmetic dentist in San Diego suggests a positive intent, but the humor undermines that intention.",1.14,0.01,599,0.04,84,1.08,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment uses positive language, highlighting the quality of the CGI crew and the creativity of Dr. Elana. The phrase ' genius is expensive' conveys satisfaction and appreciation for the effort and skill demonstrated by the team.",0.93,0.01,620,0.06,65,0.85,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEUTRAL,"The comment uses a metaphor where Mr. Jason's walls seem to have people standing, which might imply a positive or neutral tone. However, without context about his expertise or the nature of his work, it's hard to determine if this is intended or not.",1.17,0.01,605,0.04,86,1.11,0,1,8192
Respect for leaving in the blooper,NEUTRAL,"The comment 'Respect for leaving in the blooper' is neutral because it expresses respect without any positive or negative connotations. The word 'bloomer' adds a bit of humor, but the overall tone remains neutral.",1.10,0.03,596,0.04,80,1.03,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The comment is negative because it uses strong language like 'Leap out of the deck' and 'Grimace machines ready', which sounds aggressive and disrespectful. The mention of Jason leaving the speaker stunned and his friend being master goat adds to the negativity. The use of phrases like 'grimace machines ready' and 'greetz Spiecull' also suggests a lack of respect or humor, making it feel negative.",1.60,0.01,631,0.06,118,1.52,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEUTRAL,"The comment uses a negative tone, questioning the person's arrogance and self-deprecation. However, it doesn't express strong positive or neutral sentiment towards the content or the speaker. The context of being in San Diego for a top cosmetic dentist might imply a professional setting, but this is not explicitly mentioned in the analysis.",1.32,0.01,608,0.04,97,1.26,0,1,8192
Waterfall with two cards. Absolutely incredible!,NEUTRAL,"The comment uses a strong metaphor about the waterfall, which is both visually and metaphorically impressive. However, it doesn't express any positive or negative sentiment towards the content of the video itself. The language is enthusiastic but lacks any explicit or implied criticism or praise for the dentist's work.",1.24,0.01,596,0.04,91,1.18,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,NEUTRAL,The comment is neutral because it expresses enjoyment and positive action without any strong emotional connotations or negative language.,0.81,0.01,610,0.05,55,0.75,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEUTRAL,"The comment is ambiguous and lacks context. The words 'i figuree' and 'payclose attention to the angle of the green case' are unclear, making it hard to determine the sentiment.",0.78,0.01,658,0.08,56,0.68,0,1,8192
"""Shuffles legit obviously.""",NEUTRAL,"The comment is neutral because it uses a casual and informal tone, which doesn't convey strong emotions. The word 'legit' adds a bit of humor but isn't enough to create a positive or negative sentiment towards the content.",1.11,0.01,593,0.04,80,1.05,0,1,8192
