Comment,deepseek-r1:8b - Sentiment,deepseek-r1:8b - Reasoning,deepseek-r1:8b - Total Duration,deepseek-r1:8b - Load Duration,deepseek-r1:8b - Prompt Eval Count,deepseek-r1:8b - Prompt Eval Duration,deepseek-r1:8b - Eval Count,deepseek-r1:8b - Eval Duration,deepseek-r1:8b - Temperature,deepseek-r1:8b - Seed,deepseek-r1:8b - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"The comment 'This man's CGI machine must be burning  😂' uses a playful tone with an emoji, indicating humor. The phrase 'burning' suggests something is working overtime or in high gear, which can imply excitement or admiration rather than criticism. Additionally, the smiley face adds to the positive and lighthearted nature of the comment. There's no indication of dissatisfaction or negativity; instead, it seems to express approval and enjoyment of the video content.",4.25,0.01,582,0.14,120,4.09,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment starts with 'Another great vid' which immediately conveys a positive tone. The user praises the video content, suggesting they are impressed or enjoy it. The phrase 'His CGI crew must be up to half a dozen employees by now' indicates admiration for the creator's success and growth in their work, further highlighting positivity. Finally, 'Genius is expensive' adds another layer of admiration, acknowledging that the creator's talent justifies the cost. Overall, the comment reflects enthusiasm and respect towards the content creator.",4.54,0.01,603,0.24,126,4.29,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The comment humorously criticizes Jason's inability to communicate effectively, suggesting a light-hearted and entertaining aspect. The use of 'talking to the wall' implies a funny scenario, which adds to the positive tone.",2.37,0.01,588,0.14,65,2.21,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment 'Respect for leaving in the blooper' indicates a positive sentiment. The word 'respect' is used positively to acknowledge something, and 'bloopers' often refer to funny or light-hearted mistakes. This suggests that the viewer found the content amusing or entertaining, which is a positive tone.",3.26,0.01,579,0.14,90,3.11,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment uses exclamation marks and emojis to express excitement, indicating a positive tone. Words like 'stunned,' 'master goat,' and 'greetz' show admiration and respect towards the content creator, further contributing to a positive sentiment.",2.69,0.01,616,0.25,71,2.43,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment 'I love when someone who is the best at something is arrogant. You've certainly earned the right.' exhibits a POSITIVE tone. The speaker admires the individual's skill and acknowledges their expertise, which is reflected in the phrase 'you've certainly earned the right.' This indicates respect for the person's achievements. Additionally, the use of 'love' conveys admiration rather than criticism. There are no negative words or phrases that would suggest a negative sentiment. The context from the video transcript discusses a request for a top cosmetic dentist, which further highlights the positive regard towards the individual's expertise.",5.00,0.01,591,0.14,143,4.85,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment 'Waterfall with two cards. Absolutely incredible!' demonstrates a strong positive sentiment. The use of the word 'incredible' is a clear indicator of enthusiasm and admiration. Additionally, the mention of a 'waterfall' in the context of card manipulation suggests an appreciation for skill or complexity. Without specific video context, it's inferred that this comment is praising a performance or technique, which aligns with positive sentiment.",3.78,0.01,579,0.14,107,3.63,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment starts with 'I really enjoy this channel,' indicating a positive sentiment towards the content. The phrase 'your card manipulation skills are mind blowing' further emphasizes admiration and appreciation, which are strong indicators of positivity. Additionally, the use of emojis like ✌️ and 🇨🇦 adds a friendly and positive tone. There is no negative language or criticism present in the comment.",3.63,0.01,597,0.14,102,3.48,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The comment uses a playful and curious tone, indicating interest in solving a puzzle or riddle. Words like 'Aha!mm' and 'figuree it out ...' suggest excitement and determination. The mention of paying close attention to details and noticing something subtle (the angle of the green case) implies a positive engagement with the content.",3.44,0.01,640,0.34,90,3.08,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' is positive in tone. The phrase 'legit' conveys approval and confidence, indicating that the person finds the action or behavior (shuffling cards) to be valid, genuine, or effective. Additionally, the use of 'obviously' suggests a confident assertion, further reinforcing a positive sentiment. Without specific context from the video transcript, I can infer that this comment is made in a supportive or admiring tone, likely about a skill or performance being observed.",4.29,0.02,576,0.14,122,4.13,0,1,8192
