Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses the phrase 'burning' which conveys frustration or irritation. The user is expressing negative emotion towards the CGI machine, indicating dissatisfaction with its performance.",1.99,0.01,590,0.13,55,1.85,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The comment expresses mixed emotions, but the sentiment leans towards negative because it criticizes the cost of Elana's services. The phrase 'Genius is expensive' directly conveys a negative evaluation of her work, indicating dissatisfaction with the value provided.",2.70,0.01,611,0.23,73,2.46,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration with Mr. Jason's delivery, suggesting that his attempt to engage with the audience was ineffective or unappreciated.",1.92,0.01,596,0.14,52,1.77,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment 'Respect for leaving in the blooper' conveys a sense of boredom or disinterest. The use of 'respect' here is subtle, suggesting that the viewer found the content unengaging and chose to leave before completion, indicating a lack of interest or patience.",2.75,0.01,587,0.13,79,2.60,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses enthusiasm and admiration for the CGI effects demonstrated in the video, using playful emojis and language to convey excitement.",1.72,0.01,622,0.23,44,1.48,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards someone who is considered the best in their field, using the word 'arrogant' which conveys disdain and disapproval. The phrase 'certainly earned the right' implies that the person's success has been achieved through merit or skill rather than any other qualities such as humility or self-deprecation.",3.16,0.01,599,0.14,91,3.01,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment 'Waterfall with two cards. Absolutely incredible!' conveys a positive sentiment towards the video's content. The use of the word 'Absolutely' indicates strong enthusiasm and admiration for the described phenomenon involving the 'waterfall with two cards.' This phrase suggests that the video's demonstration was both impressive and engaging, leaving a lasting impression on the viewer. Additionally, the comment does not contain any negative language or criticism, which further supports the positive classification of the sentiment.",4.04,0.01,587,0.13,118,3.89,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment of the content, uses positive language like 'mind blowing' which conveys admiration and excitement. The mention of taking care is a friendly gesture but doesn't detract from the overall positive sentiment.",2.31,0.01,601,0.14,65,2.16,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses frustration and confusion about the explanation provided for how Dr. Elana achieved her trick, referencing a specific visual detail (the dark silver car) and an unclear method involving touching his face.",2.40,0.01,649,0.31,62,2.07,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' conveys a positive sentiment. The use of the word 'legit' suggests approval or recognition of the skill demonstrated in shuffling cards, indicating that the action was done well and could be trusted. Additionally, the phrase 'obviously' adds emphasis to the legitimacy, reinforcing the positive impression of the card-shuffling trick.",3.27,0.01,584,0.13,95,3.12,0,1,8192
