Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment contains a negative sentiment as it uses an exaggerated and humorous expression. The word ""burning"" is used in a way that suggests annoyance or frustration, which is not the intended emotional tone of the video.",0.65,0.01,604,0.04,62,0.60,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration for the video's content, indicating a positive sentiment. Key phrases such as ""great vid,"" ""his CGI crew must be up to half a dozen employees by now"" and ""genius is expensive"" further emphasize this positivity. The context provided by the transcript does not significantly influence the sentiment classification.",0.90,0.01,625,0.06,85,0.83,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment contains negative language and phrases such as ""hardest thing"" and ""talking to the wall like there is actually someone standing"". The tone of the comment seems to be critical or disapproving, which influences the classification as NEGATIVE.",0.75,0.01,608,0.04,71,0.70,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment expresses disappointment and frustration with the video content. The use of words like ""blooper"" and the mention of a ""top cosmetic dentist"" suggest that the viewer is dissatisfied with the content's quality or perceived value.",0.67,0.01,599,0.04,65,0.62,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The sentiment of the YouTube comment is negative because it contains a series of negative and humorous phrases, such as ""Leap out of the deck?"" which implies confusion or lack of understanding. The word choice ""Master Goat"" further emphasizes the negative tone, suggesting that the commenter is not satisfied with the content provided by Dr Elana. Additionally, the phrase ""Greetz Spiecull"" indicates a lack of appreciation for the service rendered by Dr Elana, which contributes to the overall negative sentiment of the comment.",1.32,0.01,653,0.08,126,1.24,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment contains negative language and criticism towards the individual, which indicates a negative sentiment. The phrase ""you've certainly earned the right"" further emphasizes this stance as it implies that the person's actions are not justified or appropriate.",0.68,0.01,611,0.04,65,0.63,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses a positive sentiment towards the video content, specifically mentioning the King of Hearts Leap and the ease of performing it. The use of words like ""incredible"" further emphasizes this positivity.",0.62,0.01,599,0.04,60,0.58,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive sentiment towards the YouTube channel, highlighting the viewer's appreciation for the card manipulation skills demonstrated by the host. The use of emoticons and emojis further emphasizes this positive sentiment.",0.65,0.01,618,0.06,60,0.58,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment contains negative language and phrases such as ""if you look at the dark silver car,"" which indicates a lack of understanding or appreciation for the artist's work. The phrase ""payclose"" suggests that the commenter is not paying attention to the details, further emphasizing the negative sentiment. Additionally, the comment mentions ""42 seconds in,"" indicating a lack of awareness about the duration and effort required to achieve the desired effect.",1.09,0.01,660,0.08,103,1.01,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment contains negative language and phrases such as ""shuffles"" (a term for playing cards), ""obviously,"" and ""fine"" (a term for being satisfied). The tone is critical, which indicates a negative sentiment. Additionally, the mention of ""king of hearts Leap out of the deck"" suggests that there are elements in the video that are not well-received or expected.",1.00,0.01,597,0.04,98,0.95,0,1,8192
