Comment,gemma2:2b - Sentiment,gemma2:2b - Reasoning,gemma2:2b - Total Duration,gemma2:2b - Load Duration,gemma2:2b - Prompt Eval Count,gemma2:2b - Prompt Eval Duration,gemma2:2b - Eval Count,gemma2:2b - Eval Duration,gemma2:2b - Temperature,gemma2:2b - Seed,gemma2:2b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses a negative sentiment towards the video content. Here's why:

* **",1.37,0.02,604,0.05,65,1.31,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,This comment expresses strong positive sentiment towards the video and its creator. Here's why: 1) **,1.43,0.02,625,0.07,66,1.33,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses a negative sentiment towards the video's content. Here's why:

* **Tone Analysis:** The phrase 'Hardest thing for Mr Jason - talking to the wall like there is actually someone standing' conveys frustration and difficulty in communication. It suggests that the speaker finds it challenging to engage with the subject matter, implying a lack of engagement or understanding.
* **Word Choice:**  The use of phrases like ",2.12,0.02,610,0.05,119,2.05,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment 'Respect for leaving in the blooper' expresses a negative sentiment. Here's why:

* **Tone:** The word choice is dismissive and lacks enthusiasm. It implies a lack of appreciation or interest in the video content.
* **Contextual Analysis:** The comment appears to be referencing a blooper, which suggests a humorous or accidental aspect of the video.  The use of 'respect' in this context implies disapproval or even mockery of the blooper itself. 

Overall, the comment conveys a negative sentiment towards the video content and its bloopers.",2.31,0.02,600,0.05,141,2.24,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"This comment expresses strong positive sentiment, evident through the following factors: 1) **Excitement and Enthusiasm:** The use of emojis like 😂, 😂😂😂, and ❤❤ clearly indicates a sense of amusement and excitement. The phrase 'Leap out of the deck??!!' suggests a level of disbelief and amazement at Jason's performance.  2) **Appreciation and Admiration:** Phrases like ",2.18,0.02,628,0.07,113,2.09,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,The comment expresses a negative sentiment towards the YouTuber's perceived arrogance. Here's why: 1) **,1.39,0.02,614,0.05,67,1.32,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses strong positive sentiment towards the video content. Here's why:

* **",1.09,0.02,601,0.05,51,1.03,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"This comment expresses a clear and enthusiastic positive sentiment towards the YouTube video content. Here's why: 

* **",1.58,0.02,614,0.05,72,1.51,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses a sense of skepticism and confusion, indicating a negative sentiment. Here's why: 1) **",1.54,0.02,662,0.10,64,1.42,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment 'Shuffles legit obviously.' exhibits a clear positive sentiment. Here's why:

* **Tone Analysis:** The use of the word 'legit' suggests approval and agreement with the previous statement. It implies that the speaker finds the action of shuffling cards to be authentic and effective, which is likely associated with a positive feeling.
* **Key Phrases/Words:**  The phrase 'Shuffles legit obviously' directly conveys a sense of excitement and affirmation. The use of 'legit' reinforces this sentiment by implying authenticity and credibility.
* **Context Consideration:** The comment appears within the context of a video about card shuffling, specifically mentioning a $500 request for a cosmetic dentist. This suggests that the speaker is likely impressed with the skill displayed in the video and finds it entertaining or enjoyable.  The use of 'Shuffles legit obviously' further reinforces this positive sentiment by suggesting an appreciation for the skillful execution of the action.",3.42,0.02,598,0.05,217,3.35,0,1,8192
