Comment,llama3.2:1b - Sentiment,llama3.2:1b - Reasoning,llama3.2:1b - Total Duration,llama3.2:1b - Load Duration,llama3.2:1b - Prompt Eval Count,llama3.2:1b - Prompt Eval Duration,llama3.2:1b - Eval Count,llama3.2:1b - Eval Duration,llama3.2:1b - Temperature,llama3.2:1b - Seed,llama3.2:1b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment's emotional tone is sarcastic and mocking, indicated by the use of an exaggerated expression of surprise ('$500 the request... 😂') and a dismissive tone ('This man's CGI machine must be burning'). The key phrase that influenced my decision is 'This man's CGI machine must be burning', which suggests that the speaker finds the idea of using CGI to create a card game to be ridiculous or absurd. Additionally, the use of an exclamation mark at the end of the comment adds to its sarcastic tone. Considering the context from the transcript, it appears that the speaker is commenting on Dr Elana's request for $500 and is expressing their skepticism about her ability to deliver high-quality cosmetic dentistry services in San Diego. The comment seems to be a humorous way of poking fun at the idea of using CGI to create a card game, rather than a genuine attempt to provide constructive feedback or criticism.",2.31,0.01,603,0.03,203,2.27,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The sentiment of this comment can be classified as NEGATIVE due to the following reasons:
- The commenter uses a derogatory term 'Queen and an Ace' which implies that Dr. Elana's skills are not impressive.
- They also mention that it's expensive ($500) and imply that Dr. Elana is overpriced, suggesting a negative perception of her services.
- The tone is sarcastic and dismissive, with phrases like 'Genius is expensive' which reinforces the negative sentiment.
- Additionally, the commenter seems to be mocking Dr. Elana's CGI skills by saying they must have a large team to keep up with their tricks, implying that it's not impressive or realistic.
- The overall tone of the comment is critical and dismissive, indicating a negative sentiment towards Dr. Elana's services.",2.13,0.01,624,0.04,188,2.07,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment's emotional tone is one of frustration and annoyance. The phrase 'this one got my attention' implies that the speaker was expecting a more challenging or interesting conversation, but instead received something mundane and easy to accomplish. The use of phrases like 'pull a queen and an ace together from the waterfall' and 'nothing on top nothing on the bottom no Ace Queen nothing in my hands' convey a sense of exasperation. Additionally, the comment's tone is somewhat sarcastic when it says 'only two cards I will push these cards into the deck like this', implying that the speaker was expecting more complexity or difficulty. The context from the transcript suggests that Mr Jason is trying to accomplish something impressive and challenging, but instead finds it easy and uninteresting. Overall, the comment's tone and language suggest a negative sentiment towards the task at hand.",2.18,0.01,609,0.03,188,2.14,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment's emotional tone is sarcastic and mocking, with phrases like 'this one got my attention' and 'you guys hear that King from the deck um pulling a queen and an ace together'. The use of all capital letters for emphasis also suggests a dismissive tone. Additionally, the comment's focus on the technical difficulties of the trick rather than its entertainment value or potential to impress Dr. Elana further reinforces the negative sentiment. Furthermore, the comment's abrupt transition from mocking to praising Dr. Elana at the end is jarring and may come across as insincere. Overall, the tone and language used in this comment convey a strong sense of disrespect for Dr. Elana's request and expertise.",1.83,0.01,600,0.03,161,1.80,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with phrases like 'this one got my attention', 'you're a queen and an ace to together', and 'you are so MASTER GOAT!' indicating admiration and enthusiasm. The use of emojis (😂) also adds to the lighthearted and playful tone. Key phrases that influenced this decision include 'Leap out of the deck??!!' which suggests surprise and excitement, and 'you leave me stunned my friend!!!' which implies a sense of awe and respect. Considering the context from the transcript, it appears that Jason is sharing his expertise as a cosmetic dentist in San Diego, and the comment seems to be an enthusiastic endorsement of his services. The use of colloquial expressions like 'hustle' also suggests a casual and informal tone, which further supports the positive sentiment.",2.21,0.01,637,0.04,188,2.16,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The sentiment of this comment can be classified as NEGATIVE due to its tone and language used. The commenter starts by expressing admiration for Dr Elana's skills, but then shifts to a sarcastic remark about being 'arrogant'. This is followed by a statement that the request was 'easy', which contradicts the commenter's previous assertion. Furthermore, the use of phrases like 'you've certainly earned the right' and 'I love when someone who is the best at something is arrogant' convey a sense of disdain and mockery towards Dr Elana's abilities. The context provided in the transcript does not support this sentiment; it appears that the commenter was simply expressing admiration for Dr Elana's skills, but their tone and language suggest otherwise. Overall, the comment's emotional tone is negative due to its sarcastic and mocking undertones.",2.12,0.01,612,0.03,186,2.08,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment's emotional tone is overwhelmingly positive, as indicated by the use of words and phrases that convey excitement and enthusiasm. The phrase 'Absolutely incredible!' is a clear indicator of this sentiment. Additionally, the speaker uses superlatives such as 'incredible' to emphasize their experience with the waterfall trick. Furthermore, the tone is consistent throughout the comment, with no negative language or criticisms mentioned. The context provided in the transcript does not seem to influence the sentiment, as there are no negative comments about Dr. Elana's services or the request itself. Overall, the speaker's use of positive language and enthusiastic tone suggests a strong positive sentiment towards the waterfall trick.",1.78,0.01,600,0.03,151,1.74,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with phrases such as 'I really enjoy this channel', 'Your card manipulation skills are mind blowing', and 'Take care eh'. The use of enthusiastic language like ✌️🇨🇦 further reinforces the positive sentiment. Additionally, the commenter explicitly states that they want to learn from Dr. Elana, indicating a genuine interest in her expertise. The tone is also playful and lighthearted, with phrases like 'hustle' and 'welcome to the hustle', which adds to the overall positivity of the comment. Considering the context of the video transcript, it appears that the commenter has been impressed by Dr. Elana's skills and wants to learn from her, making this a positive sentiment.",1.98,0.01,618,0.04,172,1.93,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The tone of this comment is sarcastic and mocking. The use of phrases like 'Aha!mm' and 'I figuree it out' convey a sense of superiority, implying that the commenter thinks they are clever or insightful. However, their explanation for how Jason's face appears to be made of glass is ridiculous and lacks any logical basis. This is evident in the comment's use of phrases like 'payclose  attention to the angle of the green case', which suggests a lack of understanding or expertise. The commenter also makes an obvious attempt to troll by mentioning that they have no idea how Jason does it, implying that their own explanation is not credible. Overall, this comment has a negative emotional tone and is likely intended to be humorous at the expense of the person who posted it.",2.07,0.01,661,0.05,177,2.01,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment's emotional tone is one of dismissal and skepticism. The phrase 'Shuffles legit' has a negative connotation, implying that the speaker does not find the action of shuffling cards to be impressive or convincing. Additionally, the use of the word 'legit' in a context where it typically implies something being true or genuine (e.g., 'I'm telling you, this is real'), further reinforces the negative sentiment. The comment's tone is also somewhat dismissive and condescending, as evidenced by the phrase 'you guys hear that King from the deck um pulling a queen and an ace together'. This tone suggests that the speaker believes they are being clever or impressive, but in reality, it comes across as insincere or manipulative. The context of the comment is also somewhat sarcastic, with phrases like 'this one got my attention for $500' and 'you're all right', which further contributes to the negative sentiment. Overall, the comment's tone and language suggest that the speaker does not find the request to learn how to shuffle cards to be impressive or convincing, and therefore, their sentiment is NEGATIVE.",2.78,0.01,597,0.03,247,2.75,0,1,8192
