Comment,llama3.2:3b - Sentiment,llama3.2:3b - Reasoning,llama3.2:3b - Total Duration,llama3.2:3b - Load Duration,llama3.2:3b - Prompt Eval Count,llama3.2:3b - Prompt Eval Duration,llama3.2:3b - Eval Count,llama3.2:3b - Eval Duration,llama3.2:3b - Temperature,llama3.2:3b - Seed,llama3.2:3b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment's emotional tone is sarcastic and mocking, conveyed through the use of a laughing face emoji (😂) and the phrase 'must be burning'. This suggests that the commenter finds the CGI machine to be excessive or wasteful. The word choice also implies a sense of ridicule and amusement at the expense of the person using the CGI machine. There is no context provided in the comment itself, but based on the video transcript, it appears that the creator is showcasing their magic trick and attempting to impress their audience with elaborate special effects. The commenter's negative sentiment suggests that they find this approach to be over-the-top or annoying.",2.65,0.01,603,0.07,145,2.57,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the user expressing admiration for the creator's CGI skills and implying that their team must be highly skilled. The use of words like 'great', 'amazing', and 'genius' convey a sense of awe and respect. Additionally, the phrase 'Genius is expensive' suggests that the user values the creator's expertise and is willing to pay for it, further reinforcing the positive sentiment. There are no negative or critical comments in this response, which adds to its overall positivity.",2.36,0.01,624,0.11,124,2.24,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment's emotional tone is one of frustration and annoyance. The word choice, 'hardest thing', implies a sense of difficulty or challenge, which suggests that the speaker finds the task unpleasant. The phrase 'talking to the wall' also has a connotation of talking to an empty space, which reinforces the idea that the speaker is frustrated with the situation. There is no positive language or sentiment in this comment, and it appears to be a negative reaction to something Mr. Jason is doing.",2.18,0.01,609,0.07,118,2.10,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment's emotional tone is one of admiration and appreciation. The word choice, 'Respect', conveys a sense of admiration and respect for the creator's willingness to leave a bloopers in the video. The phrase 'leaving in the blooper' suggests that the creator is acknowledging their mistake and taking responsibility for it, which adds to the positive sentiment. There is no negative language or tone in this comment, indicating a supportive and encouraging attitude towards the creator.",2.04,0.01,600,0.07,113,1.96,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the use of enthusiastic language and exaggerated expressions such as '😂', '🎉', and '❤❤'. The word choice also contributes to a lighthearted and celebratory atmosphere. Key phrases like 'LEAP out of the deck??!!' and 'you are so MASTER GOAT!!!' convey excitement and admiration for the creator's (Jason) skillful performance. The comment also includes personal touches, such as addressing Jason as 'my friend', which further emphasizes the positive sentiment. Overall, the tone is playful, energetic, and congratulatory, indicating a strongly positive emotional response to the video content.",2.90,0.01,637,0.11,154,2.78,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment's emotional tone is one of admiration and respect, conveyed through the use of words like 'love' and 'arrogant'. The speaker seems to appreciate the person's confidence and expertise in their field. Key phrases such as 'I love when someone who is the best at something is arrogant' suggest that the speaker finds arrogance in a confident individual endearing. This sentiment is further reinforced by the comment's tone, which is lighthearted and playful. The context of the comment suggests that it is responding to a video or presentation where the person being addressed is showcasing their skills as a cosmetic dentist. Overall, the comment expresses admiration for the person's confidence and expertise, making it a positive sentiment.",2.96,0.01,612,0.07,162,2.87,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment's emotional tone is overwhelmingly enthusiastic and admiring. The use of the word 'absolutely' emphasizes the speaker's strong positive emotions towards the video content. Additionally, the phrase 'incredible' reinforces this sentiment, indicating a high level of admiration for the video's execution. There are no negative words or phrases in the comment that would suggest otherwise. Overall, the tone is celebratory and suggests that the viewer was thoroughly impressed with the video.",2.08,0.01,600,0.07,109,1.99,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment's emotional tone is overwhelmingly positive, with the user expressing admiration for the channel's content and the creator's skill. The use of phrases such as 'I really enjoy this channel' and 'Your card manipulation skills are mind blowing' convey a sense of enthusiasm and appreciation. Additionally, the inclusion of emojis (✌️🇨🇦) adds to the positive tone, suggesting that the user is feeling friendly and supportive. There are no negative words or phrases in the comment, further reinforcing its positive sentiment.",2.36,0.01,618,0.11,124,2.24,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The comment's emotional tone is one of excitement and amazement, as evident from the use of 'Aha!' and 'i figuree it out'. The language used is informal and playful, with phrases like 'payclose attention' and 'roughly around 42 seconds in', which convey a sense of enthusiasm and engagement. The comment also expresses admiration for the magician's skill, stating 'you will notice that i have no idea how he does it', which suggests a positive sentiment towards the performance. Overall, the tone is lighthearted and celebratory, indicating a positive emotional state.",2.67,0.01,661,0.15,140,2.51,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment's emotional tone is casual and playful, with a hint of sarcasm. The word choice is informal and conversational, using colloquial expressions like 'legit' to convey enthusiasm and approval. The phrase 'Shuffles legit obviously' suggests that the commenter finds the card shuffling technique impressive or clever, which reinforces the positive sentiment. There is no apparent negative tone or criticism in this comment, indicating a supportive and encouraging attitude towards the video content.",2.11,0.01,597,0.07,111,2.03,0,1,8192
