Comment,qwen2.5:1.5b - Sentiment,qwen2.5:1.5b - Reasoning,qwen2.5:1.5b - Total Duration,qwen2.5:1.5b - Load Duration,qwen2.5:1.5b - Prompt Eval Count,qwen2.5:1.5b - Prompt Eval Duration,qwen2.5:1.5b - Eval Count,qwen2.5:1.5b - Eval Duration,qwen2.5:1.5b - Temperature,qwen2.5:1.5b - Seed,qwen2.5:1.5b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment expresses frustration and sarcasm towards the magician's use of a CGI machine. The phrase 'burning' implies that the machine is inefficient or not working properly, which is negative in context. Key phrases like 'This man's CGI machine must be burning' indicate dissatisfaction with the performance.",0.96,0.01,615,0.04,77,0.91,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,The comment expresses admiration for the video's special effects and the performer's skills. The use of phrases like 'amazing tricks' and 'Genius is expensive' indicates a positive sentiment towards both the performance and the cost involved in creating such videos.,0.88,0.01,636,0.06,68,0.80,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration and disappointment. The phrase 'hardest thing' suggests that Jason's performance was particularly difficult or challenging, which implies a negative sentiment. The comparison to talking to the wall indicates that Jason is not engaging with the audience effectively, leading to a negative impression. There are no positive elements in this comment.",1.03,0.01,621,0.04,82,0.97,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment is negative because it criticizes someone else's mistake or error, which is disrespectful. The phrase 'blooper' suggests that the person was not paying attention and made a mistake during the video. This implies that the commenter feels the other participant did not perform as expected or professionally.",0.94,0.01,612,0.04,76,0.89,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment expresses enthusiasm and admiration for the magician's performance, using phrases like 'MASTER GOAT' and 'stunned'. The context of a video about magic tricks is consistent with positive sentiment. Key words such as 'master', 'goat', and 'glad' indicate approval and enjoyment.",0.99,0.01,647,0.06,78,0.92,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards the person being praised for their skills, suggesting arrogance and implying that they have no reason to be proud of it. The tone is dismissive and condescending, indicating dissatisfaction with the individual's perceived lack of humility.",0.86,0.01,624,0.04,68,0.80,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment expresses enthusiasm and admiration for the magician's performance, using phrases like 'absolutely incredible' which indicates a positive sentiment. The context of the video is not provided, but based on the content of the comment alone, it seems to be praising the skill and magic involved in the trick.",0.97,0.01,612,0.04,77,0.91,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and admiration for the channel's content, specifically praising the card manipulation skills. The use of 'mind blowing' indicates a high level of appreciation. There are no negative or critical comments present in this brief response.",0.82,0.01,626,0.04,64,0.76,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The commenter is expressing frustration and confusion, which indicates a negative sentiment. The key phrases 'Aha!mm' and 'I figuree it out' suggest disappointment or dissatisfaction with the situation. Additionally, the comment mentions not being able to understand how someone else does something, implying that they feel left out of the process. This lack of understanding is further emphasized by the phrase 'roughly around 42 seconds in', suggesting that the commenter feels they are missing an important part of what's happening.",1.51,0.01,674,0.08,119,1.42,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment is neutral and does not express any positive or negative sentiment. The phrase 'shuffles legit obviously' suggests that the person agrees with the legitimacy of the shuffling process, but it doesn't convey any strong emotion.",0.81,0.01,609,0.04,63,0.75,0,1,8192
