Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The sentiment of the YouTube comment is negative. The tone of the comment is sarcastic and dismissive, with a hint of amusement. The use of the word ",0.87,0.01,618,0.04,55,0.83,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the video's content. The tone of the comment is positive, as it uses words like 'great,' 'amazing,' and 'genius.' Additionally, the use of phrases such as 'up to half a dozen employees' suggests that the speaker appreciates the effort and skill put into creating these tricks.",1.40,0.01,641,0.06,90,1.33,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The sentiment of this YouTube comment can be classified as NEGATIVE. The tone of the comment is sarcastic and mocking, with phrases such as 'Hardest thing for Mr Jason - talking to the wall like there is actually someone standing.' This indicates that the person who wrote the comment does not have a positive opinion about Dr. Elana or her services.",1.41,0.01,624,0.04,92,1.37,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The YouTube comment expresses respect and appreciation for Dr. Elana's appearance in a bloopers video, indicating a positive sentiment towards her.",0.75,0.01,615,0.04,48,0.71,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The YouTube comment is filled with positive emotions and phrases that indicate enthusiasm, admiration, and excitement for the video content. The tone of the comment is light-hearted and playful, suggesting a good time was had by all involved in creating the video.",1.11,0.01,663,0.06,69,1.04,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this YouTube comment can be analyzed by examining the tone, key phrases, and context provided in the video transcript. The comment starts with a positive statement about someone being the best at something, which indicates a favorable view towards that person. The use of the word 'arrogant' to describe their behavior implies confidence and superiority, further supporting the positive sentiment. Additionally, the phrase ",1.53,0.01,627,0.04,99,1.49,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The YouTube comment expresses enthusiasm and amazement at the video's content, using words like 'absolutely incredible' which convey a positive emotional tone. The context of the video is also relevant as it showcases impressive visuals that likely evoke excitement and admiration from viewers.",1.09,0.01,615,0.04,71,1.05,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the channel, using words like 'mind-blowing' to describe the card manipulation skills. The tone is positive as well, with phrases such as 'I really enjoy this channel.' Additionally, the use of a friendly emoji ('✌️🇨🇦') adds to the overall positivity of the sentiment.",1.44,0.01,635,0.06,93,1.37,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The YouTube comment is filled with excitement and amazement at the video's content. The user uses words like 'aha!' to express surprise, indicating a positive emotional tone. Additionally, they mention that the video has been viewed 107 times in just one day, which further supports the positive sentiment.",1.31,0.01,678,0.08,81,1.22,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The YouTube comment expresses a positive sentiment towards the video, as it praises the skill of shuffling cards and suggests that the request is legitimate. The tone of the comment is casual and conversational, with phrases like 'Shuffles legit obviously' indicating enthusiasm and approval.",1.13,0.00,613,0.04,73,1.08,0,1,8192
