Comment,deepseek-r1:1.5b - Sentiment,deepseek-r1:1.5b - Reasoning,deepseek-r1:1.5b - Total Duration,deepseek-r1:1.5b - Load Duration,deepseek-r1:1.5b - Prompt Eval Count,deepseek-r1:1.5b - Prompt Eval Duration,deepseek-r1:1.5b - Eval Count,deepseek-r1:1.5b - Eval Duration,deepseek-r1:1.5b - Temperature,deepseek-r1:1.5b - Seed,deepseek-r1:1.5b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses a playful and exaggerated tone, which can sometimes lead to negative sentiment. The phrase 'CGI machine must be burning' is meant to mock the overused or unrealistic use of CGI in the video, but it's unclear if this is intended as a critique or just a humorous statement. Additionally, the context doesn't provide enough information about the video's content or the speaker's intent, making it difficult to assess the sentiment accurately.",1.60,0.01,590,0.04,122,1.54,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The comment uses negative language like ' genius' and ' expensive', which can imply dissatisfaction or criticism. The word ' CGI crew' might suggest a positive aspect, but the overall tone leans towards negativity due to the negative descriptors.",1.07,0.01,611,0.06,78,1.00,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment uses negative language about Mr. Jason's difficulty in speaking, which may imply a lack of confidence or self-confidence. The phrase 'talking to the wall' suggests confusion and perhaps an inability to express himself clearly, which could be seen as negative towards someone who might not have the same level of confidence.",1.30,0.01,596,0.04,96,1.24,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment uses negative language like 'respect for leaving in the blooper' which implies a lack of respect and a critical view. The word 'bTranslator' is used, which might be a typo or slang for something else, possibly indicating a misunderstanding or misinterpretation of the speaker's intent. Additionally, the mention of San Diego and a top cosmetic dentist without any positive reinforcement suggests a negative sentiment towards the service.",1.56,0.01,587,0.04,117,1.50,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The comment is negative because it uses strong language like 'Leap out of the deck' and 'Grimace machines ready', which sounds aggressive and disrespectful. The mention of Jason leaving the speaker stunned and his friend being a master goat is also hurtful and offensive. The use of phrases like 'gripz' and 'greets spiecull' adds to the negativity, making it feel like the speaker is being attacked or made fun of. Additionally, the context from the transcript shows that the speaker is in San Diego and has a high demand for a top cosmetic dentist, which might not align with their actual intent, further contributing to the negative sentiment.",2.17,0.01,622,0.06,166,2.10,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment uses negative language and dismisses others' abilities, which can be seen as critical and harsh. The word 'arrogant' conveys arrogance, which may not align with a positive sentiment towards a dentist. Additionally, the context of the video is about being in San Diego for a top cosmetic dentist, implying respect and expertise, but the comment's tone doesn't reflect that.",1.49,0.01,599,0.04,111,1.43,0,1,8192
Waterfall with two cards. Absolutely incredible!,NEGATIVE,"The comment is negative because it uses a strong, unflattering comparison of the waterfall and the cards, which makes it seem like the dentist service is poor or not worth the money. The use of 'waterfall' implies difficulty in moving cards out of the deck, which isn't relevant to the actual service quality. Additionally, the mention of 'King of Hearts' and 'Shuff' suggests a playful and possibly over-the-top approach, but this doesn't address the negative sentiment about the service.",1.77,0.01,587,0.04,134,1.71,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,NEGATIVE,"The comment is negative because it uses strong language like 'mind blowing' and 'take care eh ✌️🇨🇦', which can be seen as critical or dismissive towards the content of the video. The use of exclamation marks and casual language might also make the sentiment seem more negative than it actually is.",1.31,0.01,601,0.04,96,1.25,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment is negative because it's overly dramatic and uses strong language without providing any constructive information. The mention of Jasons head, green case angle, and the timing of the action make it seem like a performance or trick, which is not appropriate for a comment about a real person's work. Additionally, the lack of specific details about how the dentist performs adds to the negative tone.",1.52,0.01,649,0.08,110,1.43,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment is negative because it uses hyperbole and lacks context. The phrase 'Shuffles legit obviously' is overly dramatic and does not convey any positive sentiment about the speaker's expertise or the content of the video. Additionally, the use of phrases like 'top cosmetic dentist' without providing specific details about the speaker's credentials makes the comment feel dismissive.",1.11,0.01,584,0.04,86,1.06,0,1,8192
