Comment;Human Annotator;DeepSeek-R1:1.5b;DeepSeek-R1:7b;DeepSeek-R1:8b;DistilBERT-sst2;Gemma2:2b;Gemma2:9b;InternLM2:7b;InternLM2:1.8b;Llama3.2:1b;Llama3.2:3b;Mistral-small:22b;Phi-3.5:3.8b;Phi4:14b;Qwen2.5:0.5b;Qwen2.5:1.5b;Qwen2.5:3b;Qwen2.5:7b;SmolLM2:135m;SmolLM2:360m;SmolLM2:1.7b
Hallo 11;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 12;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 13;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 14;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 15;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 16;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 17;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 18;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 19;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;POSITIVE;NEUTRAL;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 20;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEUTRAL;POSITIVE;NEGATIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE
