Comment;(MODUS) Human Annotator;deepseek-r1:1.5b;deepseek-r1:7b;deepseek-r1:8b;DistilBERT - sst2;gemma2:2b;gemma2:9b;internlm2:7b;internlm2:1.8b;llama3.2:1b;llama3.2:3b;mistral-small:22b;phi3.5;phi4;qwen2.5:0.5b;qwen2.5:1.5b;qwen2.5:3b;qwen2.5:7b;smollm2:135m;smollm2:360m;smollm2:1.7b
Hallo 11;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 12;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 13;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 14;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 15;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 16;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 17;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 18;POSITIVE;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE;POSITIVE
Hallo 19;POSITIVE;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;POSITIVE;NEUTRAL;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;NEUTRAL;NEGATIVE;POSITIVE;POSITIVE;NEGATIVE
Hallo 20;NEUTRAL;NEUTRAL;NEGATIVE;POSITIVE;NEGATIVE;POSITIVE;POSITIVE;NEUTRAL;NEGATIVE;NEGATIVE;POSITIVE;NEGATIVE;NEUTRAL;POSITIVE;NEGATIVE;NEUTRAL;NEUTRAL;POSITIVE;POSITIVE;POSITIVE;POSITIVE
