Comment,deepseek-r1:7b - Sentiment,deepseek-r1:7b - Reasoning,deepseek-r1:7b - Total Duration,deepseek-r1:7b - Load Duration,deepseek-r1:7b - Prompt Eval Count,deepseek-r1:7b - Prompt Eval Duration,deepseek-r1:7b - Eval Count,deepseek-r1:7b - Eval Duration,deepseek-r1:7b - Temperature,deepseek-r1:7b - Seed,deepseek-r1:7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment uses the word 'burning' which conveys a sense of intense frustration or anger. The exclamation mark and the use of emojis like 😂 also add to the emotional intensity, suggesting that the speaker is quite upset with something related to the CGI machine.",2.56,0.01,159,0.13,76,2.41,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment starts with 'Another great vid.' which conveys approval and commendation of the video. The phrase 'CGI crew must be up to half a dozen employees by now' highlights the complexity and effort behind creating such intricate visual effects, indicating satisfaction with the creator's dedication. Additionally, the use of 'amazing tricks' reinforces the positive sentiment towards the content. The statement 'Genius is expensive' adds an element of critique but in this context, it seems to complement the effort described earlier rather than being a standalone negative comment. Overall, despite the mention of cost associated with genius, the overall tone remains positive as the creator's dedication and skill are praised.",5.25,0.01,180,0.22,159,5.01,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment expresses frustration with Mr. Jason's approach of engaging with the audience or his content in a way that feels unresponsive. The phrase 'talking to the wall' is a common metaphor indicating disinterest, disengagement, or a sense of being ignored. This conveys a negative sentiment as it suggests that the speaker feels disconnected from the content or interaction on YouTube.",3.24,0.01,165,0.13,98,3.10,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment expresses a negative sentiment towards leaving during a blooper. The word 'respect' is used here, but it conveys more of a reluctantly agreeable or accepting stance rather than an outright positive sentiment. The context suggests that the speaker might be dissatisfied with the situation where they had to leave early in the blooper, hence the overall negative tone.",3.20,0.01,156,0.13,96,3.05,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The comment contains a mix of positive and negative emotions, but the overall sentiment leans towards negative due to the use of words like 'stunned' and 'master goat,' which convey frustration or disappointment in Jason's performance.",2.37,0.01,191,0.23,66,2.13,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment expresses a negative sentiment towards someone who is considered the best at their task by using the word 'arrogant.' The speaker implies that this person has rightfully earned their position, but the use of 'arrogant' suggests a critical or disapproving attitude. The overall tone conveys frustration or disappointment with how the person behaves.",3.23,0.01,168,0.13,96,3.08,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,The comment uses the phrase 'Absolutely incredible!' which clearly conveys enthusiasm and praise for the waterfall with two cards. The positive sentiment is evident from both the choice of words and the emotional tone expressed.,2.15,0.01,156,0.13,62,2.01,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive sentiment towards the channel and the presenter's skills. The use of words like 'enjoy' and 'mind blowing' clearly conveys enthusiasm. Additionally, the inclusion of emojis (❤️ and 🇨🇦) adds to the friendly and positive tone. The phrase 'take care eh' is a casual way of expressing good wishes, which further contributes to the overall positive sentiment.",3.43,0.01,170,0.13,104,3.28,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment expresses frustration and confusion about the explanation provided by the speaker. The use of words like 'Aha!' and 'mm' suggests a moment of realization, but the phrase 'I figuree it out' contains a typo ('figuree' instead of 'figure out') which adds to the confusion. The mention of the dark silver car and Jason's head on the bookshelf indicates that the speaker is trying to visualize or reference something specific during the explanation. However, after roughly 42 seconds in, the speaker clarifies that they have no idea how it was done, indicating a breakdown in understanding. The overall tone reflects a mix of exasperation and bewilderment, leading to an overall negative sentiment.",5.57,0.01,218,0.31,167,5.25,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment 'Shuffles legit obviously' conveys a sense of boredom or disinterest. The use of the word 'obviously' suggests that the speaker feels their point has been made in such a straightforward manner that it lacks depth, indicating a lack of enthusiasm or engagement with the content. Additionally, the repetition of 'legit' emphasizes monotony and a lack of originality, further contributing to a negative sentiment.",3.58,0.01,153,0.13,108,3.44,0,1,8192
