Comment,internlm2:1.8b - Sentiment,internlm2:1.8b - Reasoning,internlm2:1.8b - Total Duration,internlm2:1.8b - Load Duration,internlm2:1.8b - Prompt Eval Count,internlm2:1.8b - Prompt Eval Duration,internlm2:1.8b - Eval Count,internlm2:1.8b - Eval Duration,internlm2:1.8b - Temperature,internlm2:1.8b - Seed,internlm2:1.8b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment contains a negative emotional tone, as indicated by the word ""burning"" which suggests frustration or annoyance. The phrase ""CGI machine must be burning"" is an example of key phrases that influenced this decision. It indicates a strong dissatisfaction with the content being discussed. Additionally, the context provided in the transcript (a comment about a man's CGI) supports this classification. Therefore, the sentiment of the YouTube comment is classified as NEGATIVE.",1.02,0.01,176,0.03,113,0.98,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,NEGATIVE,"The comment expresses disappointment regarding the cost of the creator's CGI crew. The use of words like ""great"" and ""amazing tricks"" implies a positive sentiment towards the content, but the overall tone is negative due to the mention of the cost being high.",0.70,0.01,197,0.05,72,0.63,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment contains negative language and a tone of frustration or anger. Key phrases such as ""hardest thing"" and ""talking to the wall"" suggest that the commenter is experiencing difficulty or being subjected to something unpleasant, which contributes to the overall negative sentiment.",0.67,0.01,180,0.04,72,0.62,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The comment contains negative language and a specific mention of 'leaving in the blooper', which indicates dissatisfaction or frustration. The use of 'respect' suggests a level of appreciation for something, but the phrase 'leaving in the blooper' implies that the subject is not worth mentioning or discussing further.",0.75,0.01,171,0.03,82,0.71,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,NEGATIVE,"The comment contains negative language and phrases such as ""Leap out of the deck?"" which implies a sense of failure or disappointment. The use of exclamation marks intensifies this sentiment, suggesting that the commenter is highly critical about the content they are watching. Key phrases include ""cgi machines ready,"" which might indicate a technical issue with the video's content, and ""Jason you leave me stunned,"" which suggests that the viewer is left feeling confused or unprepared for what they are seeing. The context of the comment being made in a YouTube setting where viewers can express their opinions about videos makes this sentiment more pronounced.",1.36,0.01,225,0.07,144,1.28,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,NEGATIVE,"The comment contains negative language and a critical perspective on the subject matter, which indicates a negative sentiment. The phrase ""you've certainly earned the right"" suggests that the speaker believes in their superiority or arrogance. This sentiment is further supported by the key phrases ""love when someone who is the best at something is arrogant,"" indicating a preference for negativity over positivity.",0.87,0.01,183,0.04,95,0.83,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment contains positive language and a strong emphasis on the quality of the content, which is a positive sentiment.",0.40,0.01,171,0.03,40,0.35,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses a positive sentiment towards the YouTube channel, highlighting specific aspects of the content that the user finds impressive, such as card manipulation skills. The use of emoticons and emojis further emphasizes this positive sentiment.",0.61,0.01,190,0.05,63,0.55,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The comment contains negative sentiment due to several factors. The emotional tone is tense and frustrated, as indicated by the repeated phrase ""Aha!"" which suggests a sense of relief or disbelief. The word choice is limited to negative terms such as ""dark silver car"", "" Jasons head"", "" on the book shelf"", "" payclose"", and ""attention to the angle of the green case"". These phrases collectively convey a sense of confusion, frustration, and lack of understanding about how Jason performs his task. Additionally, the mention of ""42 seconds in"" implies that there is a specific moment or context where this sentiment is most pronounced.",1.39,0.01,232,0.07,148,1.31,0,1,8192
"""Shuffles legit obviously.""",NEGATIVE,"The comment contains negative language and phrases such as ""shuffles"" and ""obviously,"" which indicate a lack of confidence or understanding. The use of exclamation marks at the end of the comment further emphasizes this sentiment, suggesting that the commenter is not satisfied with the content they are watching.",0.74,0.01,169,0.03,80,0.69,0,1,8192
