Comment,smollm2:1.7b - Sentiment,smollm2:1.7b - Reasoning,smollm2:1.7b - Total Duration,smollm2:1.7b - Load Duration,smollm2:1.7b - Prompt Eval Count,smollm2:1.7b - Prompt Eval Duration,smollm2:1.7b - Eval Count,smollm2:1.7b - Eval Duration,smollm2:1.7b - Temperature,smollm2:1.7b - Seed,smollm2:1.7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The sentiment of this YouTube comment is negative due to the use of a strong exclamation mark and the word 'burning', which convey a sense of frustration or disappointment. The tone of the comment appears sarcastic, suggesting that the person who made it finds the CGI machine's performance disappointing.",1.08,0.01,177,0.04,77,1.03,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment expresses enthusiasm and admiration for the creator's work. The tone of the comment is positive, as evident from phrases like 'Another great vid' and 'Genius is expensive.' Key phrases that influenced my decision include 'amazing tricks,' which indicates a high level of appreciation for the content being presented.",1.20,0.01,200,0.06,84,1.13,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The sentiment of this comment can be classified as NEGATIVE due to several factors. Firstly, the tone of the comment is quite sarcastic and mocking, with phrases such as 'Hardest thing for Mr Jason - talking to the wall like there is actually someone standing.' This suggests that the speaker finds it amusing or even ironic that Mr. Jason has difficulty communicating with a virtual entity.",1.35,0.00,183,0.04,97,1.31,0,1,8192
Respect for leaving in the blooper,NEGATIVE,"The sentiment of this comment is negative because it contains a strong criticism towards the person who left the bloopers. The word 'respected' suggests that they did not appreciate or value the effort made by the person in creating these bloopers, which indicates a sense of disappointment and frustration.",1.11,0.01,174,0.04,79,1.06,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The YouTube comment is filled with positive sentiment, evident from the use of exclamation marks and enthusiastic language such as 'Leap out of the deck??!!', '😂 cgi machines ready 😂😂😂', and 'you are so MASTER GOAT!!!'. The tone is playful and celebratory. Key phrases like 'Greetz Spiecull' also contribute to a positive sentiment, as they show appreciation for the speaker's friendliness.",1.68,0.01,222,0.06,119,1.62,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The sentiment of this YouTube comment can be analyzed as positive due to several factors. Firstly, the tone of the comment is assertive and confident, which indicates a strong opinion about the person being referred to. The use of words like 'love' and 'best' also suggests that the speaker has high regard for the individual in question. Furthermore, the phrase ",1.31,0.01,186,0.04,92,1.26,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,The sentiment of the YouTube comment is positive as it uses words like 'absolutely incredible' which convey a strong sense of admiration and excitement.,0.68,0.01,174,0.04,48,0.64,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The YouTube comment expresses a positive sentiment towards the channel, as evidenced by phrases such as 'I really enjoy this channel' and 'mind blowing.' The use of words like 'eh' also suggests a friendly tone. Additionally, the mention of card manipulation skills implies that the viewer appreciates the content creator's expertise.",1.18,0.01,194,0.06,83,1.11,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEGATIVE,"The YouTube comment contains several negative elements. Firstly, the tone is sarcastic and dismissive, as evident from phrases like 'Aha!mm' and 'i figuree it out.' The use of exclamation marks also indicates a sense of frustration or annoyance. Additionally, the commenter criticizes Jason for not being able to solve the puzzle, which further contributes to the negative sentiment.",1.44,0.01,237,0.08,99,1.35,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The sentiment of the YouTube comment is positive because it contains a single word, 'legit,' which implies that the user believes the shuffle function works as intended and is trustworthy.",0.78,0.01,172,0.04,55,0.73,0,1,8192
