Comment,internlm2:7b - Sentiment,internlm2:7b - Reasoning,internlm2:7b - Total Duration,internlm2:7b - Load Duration,internlm2:7b - Prompt Eval Count,internlm2:7b - Prompt Eval Duration,internlm2:7b - Eval Count,internlm2:7b - Eval Duration,internlm2:7b - Temperature,internlm2:7b - Seed,internlm2:7b - Num_ctx
This man's CGI machine must be burning  😂,NEGATIVE,"The comment contains a negative tone and implies that the person is not satisfied with the quality of the CGI work. The use of 'must be burning' suggests frustration or disappointment, while the laughing emoji (😂) might indicate sarcasm to soften the criticism.",2.25,0.01,199,0.12,76,2.12,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The comment expresses admiration and appreciation for the video, referring to it as 'another great vid'. The use of words like 'amazing tricks' and 'genius' further indicates a positive sentiment. Additionally, while there is mention that 'Genius is expensive', this does not detract from the overall positive tone towards the content itself.",2.66,0.01,220,0.21,87,2.44,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,NEGATIVE,"The comment suggests that Mr. Jason's situation, which involves speaking into a wall as if it were an actual person, is difficult for him. The phrase 'hardest thing' indicates a significant challenge or struggle he faces in this scenario.",2.09,0.01,203,0.20,67,1.87,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment expresses respect and appreciation towards someone's decision, specifically mentioning 'respect' which is a strong positive emotion. The phrase 'leaving in the blooper' suggests that the person has made an effort to include something extra or special (a blooper) for their audience, indicating thoughtfulness and care.",2.37,0.01,194,0.12,80,2.24,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The comment contains several indicators of positive sentiment:
- The use of laughing emojis (😂) and a heart emoji (❤), which are commonly associated with humor, joy, or affection. 
- Phrases like ""Master Goat"" suggest admiration for the subject's skill level; this is generally considered praise in online contexts. 
- The use of exclamation marks (!!) emphasizes excitement about the content being discussed and can be interpreted as a positive reaction to it.",3.72,0.01,248,0.29,121,3.42,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment expresses admiration and appreciation for someone's expertise, even when they exhibit arrogance. The phrase 'I love when someone who is the best at something is arrogant' indicates a positive sentiment towards this behavior because it suggests that the person has earned their confidence through skill or talent. Additionally, the statement 'You've certainly earned the right.' reinforces the idea of respect and acknowledgment for what they have achieved.",3.11,0.01,206,0.20,103,2.90,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment 'Waterfall with two cards. Absolutely incredible!' exhibits a highly positive sentiment due to the following reasons:
1. Tone Analysis: The tone of this comment is overwhelmingly enthusiastic and appreciative, as indicated by words like ""absolutely incredible"" which convey strong admiration for whatever content was being discussed (in this case, presumably related to a card game or strategy). 
2. Key Phrases/Words: The phrase 'Absolutely incredible' stands out in the sentiment analysis due to its intensity and positivity; it suggests that the commenter is highly impressed with what they are commenting on.
3. Context Consideration (if available): Without additional context from a transcript, we can still infer that this positive reaction likely stems from an impressive display of skill or strategy within whatever game or scenario was being discussed.",5.38,0.01,194,0.12,186,5.25,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment expresses enjoyment and admiration for the channel's content, specifically mentioning 'mind-blowing' card manipulation skills. The use of a friendly sign-off with a thumbs-up emoji (✌️) and a Canadian flag emoji (🇨🇦) further reinforces positive sentiment.",2.46,0.01,213,0.21,80,2.24,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,NEUTRAL,"The comment appears to be a neutral observation rather than an expression of strong emotion. The user is discussing their analysis and pointing out details in the video, without using overtly positive or negative language. Key phrases like 'figure it out' suggest curiosity but not necessarily approval (positive sentiment), while 'i have no idea how he does it' indicates confusion which doesn't inherently carry a negative connotation; rather, it reflects uncertainty about something presented as impressive ('he does it'). The overall tone is analytical and observational without clear emotional investment.",3.89,0.01,255,0.29,127,3.59,0,1,8192
"""Shuffles legit obviously.""",NEUTRAL,"The comment 'Shuffles legit obviously.' does not contain explicit positive or negative language. The word ""shuffles"" could imply a neutral action, and the phrase ""legit obviously"" suggests that there is no doubt about its legitimacy but doesn't inherently carry emotional weight either. Without additional context from the video's transcript to provide deeper insight into the sentiment of this comment, it can be classified as NEUTRAL.",3.06,0.01,192,0.12,104,2.93,0,1,8192
