Comment,smollm2:360m - Sentiment,smollm2:360m - Reasoning,smollm2:360m - Total Duration,smollm2:360m - Load Duration,smollm2:360m - Prompt Eval Count,smollm2:360m - Prompt Eval Duration,smollm2:360m - Eval Count,smollm2:360m - Eval Duration,smollm2:360m - Temperature,smollm2:360m - Seed,smollm2:360m - Num_ctx
This man's CGI machine must be burning  😂,POSITIVE,"The comment is enthusiastic and appreciative of the CGI machine. The use of 'burning' suggests a strong positive sentiment, indicating that the person who made the comment has high praise for this particular machine.",0.47,0.01,178,0.02,60,0.45,0,1,8192
Another great vid. His CGI crew must be up to half a dozen employees by now to be able to keep up with all his amazing tricks  Genius is expensive,POSITIVE,"The YouTube comment contains a positive sentiment, as it expresses admiration and appreciation for the creator's work. The tone of the comment is enthusiastic and appreciative, with phrases like 'Another great vid' and 'Genius is expensive.' Additionally, the use of words such as 'amazing tricks,' 'up to half a dozen employees,' and 'genius' contribute to this positive sentiment.",0.78,0.01,201,0.02,99,0.75,0,1,8192
Hardest thing for Mr Jason - talking to the wall like there is actually someone standing,POSITIVE,"The comment's tone was overwhelmingly positive. The use of words such as 'hardest' and 'talking', along with phrases like 'the hardest thing for Mr Jason' and 'like there is actually someone standing', all contribute to a sense of excitement and enthusiasm. Additionally, the context provided in the transcript suggests that the speaker genuinely enjoyed their experience.",0.72,0.01,184,0.02,91,0.69,0,1,8192
Respect for leaving in the blooper,POSITIVE,"The comment is positive as it expresses respect and appreciation for someone who left a joke or funny remark. The tone of the comment is friendly, polite, and appreciative, which suggests that the person leaving the comment was likely happy to have been acknowledged.",0.55,0.01,175,0.02,70,0.53,0,1,8192
Leap out of the deck??!! 😂 cgi machines ready 😂😂😂 Jason you leave me stunned my friend!!! you are so MASTER GOAT!!! ❤❤ Greetz Spiecull. 🎉,POSITIVE,"The sentiment of the YouTube comment is positive, as it expresses admiration and appreciation for Jason's skill in performing a leap out of the deck. The use of words like 'leap', 'out of the deck', and 'cgi machines' suggests that the user enjoyed watching Jason perform this stunt. Additionally, the phrase 'Greetz Spiecull' implies that the user is congratulating Jason on his achievement.",0.83,0.01,223,0.02,105,0.80,0,1,8192
I love when someone who is the best at something is arrogant.  You've certainly earned the right.,POSITIVE,"The comment contains a positive sentiment, as it expresses admiration for someone's exceptional abilities and confidence in their skills. The use of phrases like 'I love when' and 'You've certainly earned the right' also contribute to this classification.",0.53,0.01,187,0.02,67,0.50,0,1,8192
Waterfall with two cards. Absolutely incredible!,POSITIVE,"The comment is overwhelmingly positive, praising the quality of the video and the performance of the waterfall effect. The use of two cards in the sequence creates a visually stunning and engaging experience.",0.44,0.01,175,0.02,56,0.42,0,1,8192
I really enjoy this channel. Your card manipulation skills are mind blowing. Take care eh ✌️🇨🇦,POSITIVE,"The comment is overwhelmingly positive, with a tone that suggests the user enjoyed the content and appreciated the card manipulation skills demonstrated by the channel creator. The use of emotive language such as 'mind blowing' and 'Take care eh!' indicates enthusiasm for the channel's work. Additionally, the fact that the user has left a comment on the video itself implies they are engaged with the content and found it enjoyable.",0.81,0.01,195,0.02,102,0.78,0,1,8192
Aha!mm     i figuree it out ...If you look at the dark silver car thats just behind Jasons head  on the book shelf  payclose  attention to the angle of the green case .. then after he touches his face  roughly around 42 seconds in  you will notice that i have no idea how he does it,POSITIVE,"The YouTube comment contains a clear and detailed explanation of the process used by the individual to figure out their phone. The tone is informative, with a focus on technical details rather than emotional expression. Key phrases such as ",0.54,0.01,238,0.03,64,0.51,0,1,8192
"""Shuffles legit obviously.""",POSITIVE,"The comment is positive because it expresses a clear and enthusiastic endorsement of the video's content, suggesting that viewers are satisfied with the quality of the footage and the direction of the story. The use of words like 'legit' and 'obviously' also contribute to this sentiment.",0.60,0.01,173,0.02,76,0.57,0,1,8192
